episode,task,r_gt_error_type,r_error_type,Loc,Exp,r_gt_failure_reason,r_pred_failure_reason,r_gt_failure_step,r_pred_failure_step,rp_task_plan,rp_llm_plan,gt_plan,taxonomy_code,notes
heatPotato-2,heatPotato,planning,execution,True,True,"A bowl is already inside the microwave, as a result, the plate cannot be put inside the microwave due to limited space.","At 01:55, the robot attempted to place the plate containing the potato into the microwave, but the action failed because a bowl was already inside the microwave, preventing the plate from being inserted. The failure was caused by the robot proceeding to put the plate in the microwave without first checking for or removing the existing bowl.",01:55,['01:55'],"['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_on, Plate, CounterTop)', '(open_obj, Microwave)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']","['(pick_up, Bowl)', '(put_in, Bowl, Sink)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)']",[],RSN-PLAN,Pre-existing state visible in L2. Located correct step but explanation was wrong/vague.
heatPotato-5,heatPotato,execution,execution,True,True,"The robot never opened the microwave, as a result, the plate cannot be put inside the microwave.","At 01:12, the robot failed to open the microwave door before attempting to place the plate inside, likely because it did not detect that the microwave was closed and turned off. This prevented the robot from completing the action of putting the potato into the microwave to heat it.","['00:41', '00:42', '00:43', '00:44', '00:45', '00:46', '00:47', '00:48', '00:49', '00:50', '00:51', '00:52', '00:53', '00:54', '00:55', '00:56', '00:57', '00:58', '00:59', '01:00', '01:01', '01:02', '01:03', '01:04', '01:05', '01:06', '01:07', '01:08', '01:09', '01:10', '01:11', '01:12']",['01:12'],"['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(navigate_to_obj, Plate)', '(put_on, Potato, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_in, Plate, Microwave)']","['(toggle_on, Microwave)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']",[],RSN-PLAN,Need to add | `L-FRAG` | LLM Reasoning | Fragmented Plan — correction plan both omits required steps and misequences the remaining ones |
heatPotato-4,heatPotato,execution,execution,True,True,The robot failed to open the microwave.,"At 01:07, the robot failed to heat the potato because it could not open the microwave door, as the door remained closed and turned off despite the robot's attempt to interact with it. This failure occurred while the potato was still sitting on the dining table, as the robot had not successfully placed the potato inside the microwave prior to this step.",01:07,['01:07'],"['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Plate)', '(navigate_to_obj, Microwave)', '(open_obj, Microwave)', '(navigate_to_obj, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']","['(close_obj, Microwave)', '(pick_up, Potato)', '(put_in, Potato, Plate)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']",[],RSN-PLAN,"Action execution failed. Correctly identified and explained, but correction plan failed."
heatPotato-3,heatPotato,planning,execution,False,True,"An apple is inside the plate already and the robot never removed it, as a result, the potato cannot be put on top of the plate due to limited plate.","At 00:37, the robot successfully placed the potato on the plate, but the task failed because an apple was already sitting on top of the plate, preventing the potato from being positioned correctly or heated as intended. The presence of the apple on the plate at 00:33 and 00:34 indicates that the environment was not prepared for the potato placement, leading to the failure at 00:37.","['00:37', '00:38', '00:39', '00:40']","['00:33', '00:34', '00:37']","['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_on, Plate, CounterTop)', '(open_obj, Microwave)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']","['(pick_up, Apple)', '(put_in, Apple, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(put_in, Apple, Sink)', '(pick_up, Apple)', '(put_in, Apple, GarbageCan)', '(pick_up, Potato)', '(put_in, Potato, Plate)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)']",[],RSN-PLAN,"GT involves missing/skipped action step(s). Correctly identified and explained, but correction plan failed."
heatPotato-6,heatPotato,planning,execution,True,False,"The robot mis-identified apple as potato, and heated an apple instead of a potato.","At 00:23, the robot failed to pick up the potato because its gripper contained an apple instead, indicating a grasping error where the wrong object was selected or retained from a previous interaction. This prevented the intended action of heating the potato as the robot was holding an irrelevant item.",00:23,['00:23'],"['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_on, Plate, CounterTop)', '(open_obj, Microwave)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']","['(pick_up, Potato)', '(put_in, Potato, Plate)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)']",[],RSN-PLAN,L-FRAG
heatPotato-8,heatPotato,execution,execution,False,False,The robot should use a microwave-safe container (e.g. Plate) to heat the potato instead of a pan.,"At 01:45, the robot attempted to place the pan containing the potato into the microwave, but the action failed because the microwave was observed to be ""turned off"" and likely not in the correct state for heating. The failure was caused by the robot proceeding to insert the pan without first verifying that the microwave was powered on and ready for operation.",00:34,['01:45'],"['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Pan)', '(pick_up, Pan)', '(navigate_to_obj, Microwave)', '(put_on, Pan, CounterTop)', '(open_obj, Microwave)', '(pick_up, Pan)', '(put_in, Pan, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']","['(pick_up, Pan)', '(put_in, Pan, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']",[],CTX-AFFORD,
heatPotato-7,heatPotato,execution,execution,False,False,"The plate is dirty at the beginning of the task execution, and the robot never cleaned it.","At 01:58, the robot failed to heat the potato because it closed the microwave door while the plate containing the potato was still inside, causing an object to drop or crack upon impact. This failure occurred immediately after the robot placed the plate in the microwave at 01:55 but before it could start the heating cycle or remove the plate.","['00:19', '00:20', '00:21', '00:22', '00:23', '00:24', '00:25', '00:26', '00:27', '00:28', '00:29', '00:30', '00:31', '00:32', '00:33', '00:34', '00:35', '00:36', '00:37', '00:38', '00:39']","['01:55', '01:58']","['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_on, Plate, CounterTop)', '(open_obj, Microwave)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']","['(toggle_off, Microwave)', '(open_obj, Microwave)', '(pick_up, Plate)', '(put_on, Plate, CounterTop)', '(pick_up, Potato)', '(put_in, Potato, Plate)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']",[],RSN-DIAG,Dirty state visible in L2. Wrong step identified (Loc=F). Wrong or insufficient explanation (Exp=F).
makeCoffee-1,makeCoffee,execution,execution,True,True,Dropped Mug,"At 00:19, the robot dropped the mug it had picked up at 00:17, as evidenced by the auditory observation of an object cracking and the subsequent visual confirmation that the gripper was empty. This failure at 00:22 resulted from the robot's inability to maintain its grip on the mug, preventing it from proceeding with the coffee-making task.",00:19,"['00:19', '00:17', '00:22']","['(navigate_to_obj, Mug)', '(pick_up, Mug)', '(navigate_to_obj, Sink)', '(put_on, Mug, SinkBasin)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Mug)', '(pour, Mug, Sink)', '(navigate_to_obj, CoffeeMachine)', '(put_in, Mug, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']","['(pick_up, Mug)', '(put_on, Mug, SinkBasin)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pour, Mug, Sink)', '(pick_up, Mug)', '(put_in, Mug, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']",[],EXEC-SIM,
makeCoffee-10,makeCoffee,planning,execution,False,False,"The robot put the mug inside the coffee machine after the coffee machine was turned off, as a result, the mug remained empty.","At 00:32, the robot prematurely turned off the faucet immediately after filling the mug, causing the failure because the mug was still dirty and required cleaning before coffee could be brewed. The robot failed to execute the necessary step of cleaning the mug or turning on the coffee machine, leaving the task incomplete.","['00:48', '00:49', '00:50', '00:51', '00:52', '00:53', '00:54']",['00:32'],"['(navigate_to_obj, Mug)', '(pick_up, Mug)', '(navigate_to_obj, Sink)', '(put_on, Mug, SinkBasin)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Mug)', '(pour, Mug, Sink)', '(navigate_to_obj, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(put_in, Mug, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']","['(pick_up, Mug)', '(put_in, Mug, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pour, Mug, Sink)', '(pick_up, Mug)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(put_in, Mug, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']",[],PER-AUDIO,
makeCoffee-2,makeCoffee,execution,execution,False,False,Dropped Mug,"At 00:32, the robot prematurely turned off the faucet immediately after successfully filling and cleaning the mug, causing the task to fail because the coffee machine remained turned off and no coffee could be brewed. The failure was triggered by an unnecessary action to stop the water flow once the mug was already clean and full.",00:38,['00:32'],"['(navigate_to_obj, Mug)', '(pick_up, Mug)', '(navigate_to_obj, Sink)', '(put_on, Mug, SinkBasin)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Mug)', '(pour, Mug, Sink)', '(navigate_to_obj, CoffeeMachine)', '(put_in, Mug, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']","['(pick_up, Mug)', '(put_on, Mug, SinkBasin)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Mug)', '(put_in, Mug, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']",[],PER-AUDIO,
makeCoffee-4,makeCoffee,execution,execution,False,False,"The mug was already filled with water at the beginning of the task execution, and the robot never emptied it.","At 00:36, the robot incorrectly toggled the coffee machine off immediately after turning it on, preventing the brewing process from starting. This failure was likely caused by a misinterpretation of the auditory observation, where the sound of the machine turning on was mistakenly identified as the machine already being active or a different sound, leading to an erroneous shutdown command.","['00:17', '00:18', '00:19', '00:20', '00:21', '00:22', '00:23', '00:24', '00:25', '00:26', '00:27', '00:28', '00:29', '00:30']",['00:36'],"['(navigate_to_obj, Mug)', '(pick_up, Mug)', '(navigate_to_obj, CoffeeMachine)', '(put_in, Mug, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']","['(toggle_on, CoffeeMachine)', '(pick_up, Mug)', '(put_in, Mug, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']",[],PER-AUDIO,
makeCoffee-3,makeCoffee,planning,execution,False,False,"The robot failed to put the mug inside the coffee machine because there was already a cup inside it, occupying the space.","At 00:32, the robot prematurely turned off the faucet immediately after filling the mug, causing the failure because the mug was still dirty and required cleaning before coffee could be brewed. The sequence of actions shows the robot filled the dirty mug with water but did not proceed to clean it or move it to the coffee machine, leading to an incomplete task execution.",0,['00:32'],"['(navigate_to_obj, Mug)', '(pick_up, Mug)', '(navigate_to_obj, Sink)', '(put_on, Mug, SinkBasin)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Mug)', '(pour, Mug, Sink)', '(navigate_to_obj, CoffeeMachine)', '(put_in, Mug, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']","['(pick_up, Mug)', '(put_in, Mug, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pour, Mug, Sink)', '(pick_up, Mug)', '(put_in, Mug, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']",[],PER-AUDIO,
makeCoffee-6,makeCoffee,planning,execution,True,True,"The robot mis-identified bowl as mug, as a result, the bowl cannot be put inside the coffee machine.","At 00:23, the robot failed to pick up the intended mug because its gripper closed around a bowl instead, likely due to a misidentification of the object or a navigation error that led it to the wrong item. This caused the coffee-making task to fail as the robot attempted to use the wrong container.",00:23,['00:23'],"['(navigate_to_obj, Mug)', '(pick_up, Mug)', '(navigate_to_obj, Sink)', '(put_on, Mug, SinkBasin)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Mug)', '(pour, Mug, Sink)', '(navigate_to_obj, CoffeeMachine)', '(put_in, Mug, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']","['(pick_up, Mug)', '(put_on, Mug, CounterTop)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']",[],RSN-PLAN,
makeCoffee-7,makeCoffee,execution,execution,True,False,"The robot never executed the action to pour water from mug after cleaning it. As a result, the mug cannot be filled with coffee.","At 00:32, the robot prematurely turned off the faucet immediately after filling the mug, causing the failure because the mug was still dirty and required cleaning before coffee could be brewed. The robot failed to recognize that the ""clean"" status of the mug was conditional on completing the washing cycle, leading to an incorrect termination of the water flow.","['00:32', '00:33', '00:34', '00:35', '00:36', '00:37', '00:38', '00:39', '00:40', '00:41', '00:42', '00:43', '00:44', '00:45', '00:46', '00:47']",['00:32'],"['(navigate_to_obj, Mug)', '(pick_up, Mug)', '(navigate_to_obj, Sink)', '(put_on, Mug, SinkBasin)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Mug)', '(navigate_to_obj, CoffeeMachine)', '(put_in, Mug, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']","['(pick_up, Mug)', '(put_in, Mug, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pour, Mug, Sink)', '(pick_up, Mug)', '(put_in, Mug, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(pick_up, Mug)', '(put_on, Mug, CounterTop)']",[],PER-AUDIO,
makeCoffee-9,makeCoffee,execution,execution,False,True,"The robot plan should not use a bowl instead of a mug or cup to make coffee. As a result, the bowl cannot be put inside the coffee machine.","At 00:50, the robot attempted to place the bowl into the coffee machine, but the action failed because the coffee machine was turned off and the bowl remained inside the robot's gripper instead of being deposited. The failure was caused by the robot trying to interact with an inactive appliance while holding an object that is not suitable for making coffee.",00:23,['00:50'],"['(pick_up, Bowl)', '(navigate_to_obj, CoffeeMachine)', '(put_in, Bowl, CoffeeMachine)', '(toggle_on, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(pick_up, Bowl)', '(put_on, Bowl, CounterTop)']","['(toggle_on, CoffeeMachine)', '(pick_up, Bowl)', '(put_in, Bowl, CoffeeMachine)', '(toggle_off, CoffeeMachine)', '(pick_up, Bowl)', '(put_on, Bowl, CounterTop)']",[],RSN-PLAN,
