episode,task,c_success,taxonomy_code,category,notes
makeSalad-3,makeSalad,False,PER-SPATIAL,Perception,
makeSalad-7,makeSalad,False,CTX-AFFORD,Context / Temporal,
makeSalad-6,makeSalad,False,RSN-PLAN,LLM Reasoning,
makeSalad-8,makeSalad,False,RSN-PLAN,LLM Reasoning,
storeEgg-1,storeEgg,True,SUCCESS,Success,
storeEgg-10,storeEgg,True,SUCCESS,Success,
makeSalad-9,makeSalad,False,PER-SPATIAL,Perception,
storeEgg-2,storeEgg,False,PER-SPATIAL,Perception,
storeEgg-3,storeEgg,True,SUCCESS,Success,
storeEgg-4,storeEgg,True,SUCCESS,Success,
storeEgg-5,storeEgg,True,SUCCESS,Success,
storeEgg-7,storeEgg,True,SUCCESS,Success,
storeEgg-6,storeEgg,True,SUCCESS,Success,
switchDevices-1,switchDevices,False,RSN-PLAN,LLM Reasoning,
storeEgg-8,storeEgg,True,SUCCESS,Success,
storeEgg-9,storeEgg,False,PER-SPATIAL,Perception,
switchDevices-10,switchDevices,False,RSN-PLAN,LLM Reasoning,
switchDevices-2,switchDevices,False,RSN-PLAN,LLM Reasoning,
switchDevices-3,switchDevices,True,SUCCESS,Success,
switchDevices-4,switchDevices,False,RSN-PLAN,LLM Reasoning,
switchDevices-5,switchDevices,True,SUCCESS,Success,
switchDevices-6,switchDevices,False,RSN-DIAG,LLM Reasoning,
switchDevices-7,switchDevices,True,SUCCESS,Success,
switchDevices-8,switchDevices,False,EXEC-SIM,Eval / Simulator,
switchDevices-9,switchDevices,True,SUCCESS,Success,
toastBread-1,toastBread,False,CTX-AFFORD,Context / Temporal,
toastBread-10,toastBread,False,CTX-AFFORD,Context / Temporal,
toastBread-2,toastBread,False,RSN-PLAN,LLM Reasoning,
toastBread-3,toastBread,False,CTX-AFFORD,Context / Temporal,
toastBread-5,toastBread,True,SUCCESS,Success,
toastBread-4,toastBread,False,RSN-PLAN,LLM Reasoning,
toastBread-7,toastBread,False,RSN-PLAN,LLM Reasoning,
toastBread-6,toastBread,False,RSN-PLAN,LLM Reasoning,
toastBread-8,toastBread,False,CTX-AFFORD,Context / Temporal,
toastBread-9,toastBread,False,RSN-PLAN,LLM Reasoning,
warmWater-1,warmWater,False,EXEC-SIM,Eval / Simulator,
warmWater-10,warmWater,False,EXEC-SIM,Eval / Simulator,
warmWater-2,warmWater,False,EXEC-SIM,Eval / Simulator,
warmWater-3,warmWater,False,EXEC-SIM,Eval / Simulator,
warmWater-4,warmWater,False,EXEC-SIM,Eval / Simulator,
warmWater-6,warmWater,False,CTX-HIDDEN,Context / Temporal,
warmWater-5,warmWater,False,EXEC-SIM,Eval / Simulator,
warmWater-7,warmWater,False,CTX-HIDDEN,Context / Temporal,
waterPlant-1,waterPlant,False,EXEC-SIM,Eval / Simulator,
warmWater-8,warmWater,False,EXEC-SIM,Eval / Simulator,
waterPlant-10,waterPlant,True,SUCCESS,Success,
warmWater-9,warmWater,False,EXEC-SIM,Eval / Simulator,
waterPlant-2,waterPlant,True,SUCCESS,Success,
waterPlant-3,waterPlant,True,SUCCESS,Success,
waterPlant-4,waterPlant,True,SUCCESS,Success,
waterPlant-5,waterPlant,True,SUCCESS,Success,
waterPlant-6,waterPlant,True,SUCCESS,Success,
waterPlant-7,waterPlant,True,SUCCESS,Success,
waterPlant-8,waterPlant,True,SUCCESS,Success,
waterPlant-9,waterPlant,True,SUCCESS,Success,
