task,episode,gt_error_type,gt_failure_reason,pred_failure_reason,human_score
storeEgg,storeEgg-7,execution,Missing step of open fridge before pick up the egg,"At 00:15, the robot failed to pick up the egg because it repeatedly moved to the egg's location without successfully grasping it, likely due to the fridge being closed or the egg being inaccessible, resulting in an empty gripper.",0
storeEgg,storeEgg-5,planning,Wrong execution - policy puts egg in pan instead of bowl,"At 01:05, the robot failed to store the egg because it closed the fridge door while the egg was still sitting on the countertop outside, leaving the object unsecured. This action was likely triggered by a navigation or task-planning error where the robot prioritized closing the appliance over placing the egg inside, resulting in the egg being left behind.",0
storeEgg,storeEgg-6,planning,Wrong perception - potato detected as egg,"At 01:05, the robot failed to store the egg because it closed the fridge door while the egg was still sitting on the countertop, leaving the object outside the refrigerator. This action was likely caused by the robot's inability to locate or pick up the egg from the countertop after placing it there at 00:43, resulting in the fridge being closed empty.",0
switchDevices,switchDevices-1,execution,Wrong Plan: TV switched off and laptop turned on,"The robot plan failed because it incorrectly included a step to toggle the television *off* instead of turning it *on*, and it completely omitted the necessary step to close the laptop before placing it on the TV stand.",1
storeEgg,storeEgg-8,execution,Dropped Bowl,"At 01:05, the robot failed to store the egg because it closed the fridge door while the egg was still on the countertop outside, leaving the object unsecured. This action was likely triggered by a misinterpretation of the environment or a premature command, as the auditory observation of an object dropping or cracking suggests the egg may have fallen or been damaged during the door-closing sequence.",0
storeEgg,storeEgg-9,execution,"Failed to successfully execute (open_obj, Fridge)","At 00:15, the robot failed to open the fridge door despite executing the ""Open fridge"" action, as the visual observation still reported the fridge as closed. This failure was likely caused by the robot's inability to successfully interact with the door handle or latch, preventing access to the interior where the egg needs to be stored.",1
switchDevices,switchDevices-10,execution,"Missing (pick_up, RemoteControl)","At 01:04, the robot attempted to toggle the television on, but the action failed because the visual observation still indicated that the television was turned off. This suggests the robot either could not successfully activate the TV or failed to register the change in the television's state after the command was executed.",0
switchDevices,switchDevices-2,planning,Wrong Order: of pick up remote control and toggle on television,"At 00:55, the robot attempted to toggle the television on, but the action failed because the visual observation still indicated that the television was turned off. This suggests the robot's command to switch on the TV was either not executed successfully or the system failed to register the change in the television's state.",0
switchDevices,switchDevices-3,execution,Wrong Plan: Opens the laptop again,"The robot plan failed because it explicitly included a step to ""Open laptop"" at 00:47, which undid the successful action of closing the laptop performed earlier in the sequence. Consequently, despite the television being turned on, the final state of the laptop was open instead of closed as required for task success.",1
switchDevices,switchDevices-4,execution,Wrong Plan: Floorlamp turned on instead of television,"The robot failed because it incorrectly identified the floor lamp as the target object instead of the laptop, resulting in the action to toggle off the lamp at 00:24 while the laptop remained untouched in the armchair. This indicates a failure in object recognition or task prioritization, causing the robot to ignore the primary goal of closing and moving the laptop.",1
switchDevices,switchDevices-5,execution,Wrong Plan: Laptop is put in garbage can instead of TV stand,"The robot plan failed because it incorrectly placed the closed laptop inside the garbage can instead of on the TV stand, violating the task requirement for the laptop's final location. Although the television was successfully turned on, the misplaced laptop caused the overall task to be considered unsuccessful.",1
switchDevices,switchDevices-6,planning,Book is blocking remote control,"At 00:51, the robot failed to pick up the remote control despite moving towards it, as the visual observation still reported that nothing was inside the robot gripper. This indicates a failure in the grasping action or a misalignment between the robot's intended movement and its actual physical interaction with the object.",0
switchDevices,switchDevices-7,execution,Miss step of close laptop,"The robot plan failed because it omitted the critical step of closing the laptop before placing it on the TV stand, resulting in the final state where the laptop remains open despite the television being successfully turned on.",1
switchDevices,switchDevices-8,execution,Dropped RemoteControl,"At 01:07, the robot attempted to toggle the television on, but the action failed because the visual observation still indicated that the television was turned off. This suggests the robot either could not successfully activate the TV or failed to register the change in the television's state after the command was executed.",0
switchDevices,switchDevices-9,execution,"Failed to successfully execute (put_on, Laptop, TVStand)","At 00:40, the robot failed to place the laptop on the TV stand because the visual observation still indicated that the laptop remained inside the robot's gripper rather than being successfully released onto the surface. This suggests the ""Put laptop on tv stand"" action did not execute correctly, preventing the completion of the task sequence.",1
toastBread,toastBread-1,execution,Dropped BreadSliced,"At 00:45, the robot failed to toast the bread because it attempted to place a bread slice into a toaster that was still turned off, as indicated by the visual observation ""toaster (turned off)"" immediately after the action. The failure was caused by the robot proceeding with the insertion action without first activating the toaster or verifying its operational state.",0
toastBread,toastBread-10,execution,The robot forgot to pick up the bread slice from the countertop before moving to the toaster.,"At 00:42, the robot attempted to place a bread slice into the toaster, but the action failed because the toaster was observed to be turned off. The failure was caused by the robot proceeding with the insertion without first activating the toaster, as indicated by the consistent ""turned off"" status in the visual observations from 00:40 through 00:42.",0
toastBread,toastBread-2,planning,The robot cannot pick up knife due to the pot occluding the knife.,"At 00:23, the robot failed to pick up the knife because a pot was blocking it on the countertop, preventing the gripper from successfully grasping the object despite repeated attempts to move to the knife's location.",1
toastBread,toastBread-4,execution,The robot failed to execute the slice bread action.,"At 00:31, the robot attempted to slice the bread but failed because the visual observation still indicated that the bread was ""not sliced"" despite the action being executed. This suggests the robot either could not successfully cut through the bread or failed to update its internal state to reflect that the slicing task was completed.",1
toastBread,toastBread-3,planning,"The robot cannot put bread slice inside the toaster due to a cellphone on top of the toaster, blocking the slots.","At 00:47, the robot failed to place the bread slice into the toaster because a cellphone was already sitting on top of the toaster, causing the bread to be placed on the phone instead. This obstruction prevented the bread from entering the toaster slots as intended.",1
toastBread,toastBread-6,execution,The robot never picked up a knife and thus cannot slice the bread.,"At 00:28, the robot attempted to slice the bread but failed because its gripper was empty, as indicated by the observation ""nothing is inside robot gripper."" This suggests the robot did not successfully grasp the bread before attempting the slicing action.",1
toastBread,toastBread-7,execution,"The robot never sliced the bread, and the unsliced bread cannot be put inside the toaster.","At 00:29, the robot attempted to place the bread into the toaster, but the action failed because the toaster was turned off and the bread remained sitting on top of the appliance rather than being inserted. The failure was caused by the robot's inability to successfully insert the bread into the inactive toaster, leaving the bread outside and the gripper empty.",0
toastBread,toastBread-5,execution,The robot failed to put bread slice inside toaster.,"At 00:45, the robot failed to place the bread slice into the toaster because the toaster was observed to be turned off, and the bread remained inside the robot's gripper instead of being inserted. This indicates the robot likely detected the inactive state of the appliance and aborted the action to prevent damage or an unsuccessful toast.",0
toastBread,toastBread-8,execution,"The robot did not put the knife down after slicing the bread. As a result, the gripper was occupied by the knife and it could not pick up the bread slice.","At 00:50, the robot failed to successfully pick up the bread slice because it was still holding the knife in its gripper, preventing it from grasping the bread. The failure was caused by the robot not releasing the knife after slicing the bread, leaving the gripper occupied when attempting to retrieve the bread slice.",1
toastBread,toastBread-9,execution,"The robot toggled on the toaster before trying to put the bread slice inside the toaster. As a result, the bread slice ended up on top of the toaster instead of inside it.","The robot plan failed because the goal to put the bread slice in the toaster was executed after the toaster was already turned on, but the final observation shows the bread slice is sitting on top of the toaster rather than inside it. This indicates that the action to insert the bread into the toaster was either not performed or not completed successfully, leaving the task condition unmet.",1
warmWater,warmWater-1,planning,Wrong order of toggle on microwave and close microwave,"At 01:04, the robot attempted to turn on the microwave to heat the water, but the action failed because the microwave remained in the ""turned off"" state despite the toggle command. This failure occurred because the robot had previously placed the mug inside the open microwave at 01:01, but the appliance was never successfully activated or closed to begin the heating process.",1
warmWater,warmWater-3,planning,Incomplete Plan: missed steps for serving the mug,"At 01:10, the robot failed to heat the water because it immediately turned off the microwave after only a few seconds, likely due to a misinterpretation of the ""Auditory observation: microwave turns on"" as a malfunction or error signal. This premature shutdown prevented the water from reaching the desired warm temperature before the robot proceeded to serve it.",0
warmWater,warmWater-10,execution,"Failed to successfully execute (toggle_on, Faucet)","At 00:21, the robot attempted to turn on the faucet to fill the mug with water, but the visual observation still showed the faucet as ""turned off,"" indicating the action failed. This failure occurred because the robot's command to toggle the faucet did not successfully change the faucet's state from off to on.",1
warmWater,warmWater-2,planning,Wrong order of filling water and microwaving,"At 00:53, the robot failed to complete the task because it filled the mug with cold tap water instead of warm water, as the microwave was turned off and never successfully heated the contents. The failure was caused by the robot's inability to heat the water, likely due to the microwave being turned off immediately after closing (00:30) and the subsequent auditory observation of an object dropping or cracking (00:07, 00:33) suggesting a malfunction or inability to operate the appliance correctly.",0
warmWater,warmWater-4,planning,Wrong Plan: serves glass instead of the mug with water,"At 01:10, the robot failed to heat the water because it immediately turned off the microwave after only a few seconds, likely due to a misinterpretation of the ""Auditory observation: microwave turns on"" as a malfunction or error signal. This premature shutdown prevented the water from reaching the desired warm temperature before the robot proceeded to serve it.",0
warmWater,warmWater-6,planning,Wrong perception: glass and mug,"At 00:26, the robot prematurely turned off the faucet immediately after filling the mug, causing the water to run down the drain instead of being retained in the mug. This failure occurred because the robot did not allow sufficient time for the mug to fill with warm water before stopping the flow.",0
warmWater,warmWater-7,execution,Wrong Plan: puts cup inside microwave instead of mug filled with water,"At 00:26, the robot prematurely turned off the faucet immediately after filling the mug, causing the water to run down the drain instead of heating up. This action failed because the robot did not wait for the water to reach the desired warm temperature or transfer the mug to the microwave/stove as required by the task.",0
warmWater,warmWater-5,planning,Microwave already occupied,"At 01:35, the robot attempted to place the cup inside the microwave while a bowl was already present inside, causing a collision or drop. The failure was caused by the robot's inability to recognize or avoid the existing bowl, leading to a physical interaction that likely resulted in the cup breaking or spilling.",1
warmWater,warmWater-8,execution,Missing step to pour wine out of the mug,"At 00:26, the robot incorrectly turned off the faucet immediately after turning it on, causing the water flow to stop while the mug remained in the sink. This failure occurred because the robot failed to proceed with filling the mug with warm water as required by the task, instead reverting to the initial state with the faucet off.",0
waterPlant,waterPlant-1,execution,Incomplete Plan - Pot is filled with wine already,"The robot plan failed because the robot picked up the wrong container; it filled the pot with water but poured it into the house plant, which was already filled with wine instead of being empty and ready to receive water. Consequently, the house plant ended up containing wine rather than water, violating the task requirement.",1
waterPlant,waterPlant-10,execution,"Failed to successfully execute (pick_up, Pot)","At 00:31, the robot prematurely turned off the faucet while the pot was still filling, causing water to continue running into the sink instead of filling the pot. This failure occurred because the robot likely misinterpreted the ""filled"" status or failed to detect the rising water level, leading to unnecessary water waste.",0
waterPlant,waterPlant-2,execution,Wrong Plan - pot is put on countertop instead of inside sink,"At 00:29, the robot failed to water the plant because it turned off the faucet while the pot remained empty and on the countertop instead of being positioned under the running water. This action was likely triggered by a misinterpretation of the auditory observation, which incorrectly indicated that water was still running despite the faucet having been turned on at 00:26.",0
waterPlant,waterPlant-3,execution,"Wrong Plan - wrong step: (pour, Pot, Sink)","At 00:43, the robot attempted to water the house plant but failed because the pot was empty, as the water had been poured into the sink at 00:38 instead of being retained for the plant. This error occurred because the robot misinterpreted the task, treating the plant watering as a disposal action rather than a transfer of water.",1
waterPlant,waterPlant-4,execution,Wrong order - faucet is turned on and off before pot is put in the sink,"At 00:39, the robot attempted to water the house plant but failed because the pot it was holding was empty and clean, having been filled with water only briefly and then turned off at 00:28. Consequently, no liquid was poured into the house plant, leaving it unwatered.",0
warmWater,warmWater-9,execution,Wrong Plan: Pours water from mug after microwaving and before serving,"At 00:26, the robot prematurely turned off the faucet immediately after filling the mug, causing the water to run down the drain instead of heating up. This action failed because the robot did not wait for the water to reach the desired warm temperature or transfer the mug to the microwave/stove as required by the task.",0
waterPlant,waterPlant-5,planning,Wrong plan - kettle is picked up instead of pot,"At 00:39, the robot attempted to water the plant by pouring liquid from the kettle, but the visual observation still showed the house plant as ""empty"" and the kettle contents as unchanged, indicating that no water was successfully transferred. This failure occurred because the robot likely failed to execute the pouring action correctly or the simulation did not register the transfer of water from the kettle to the plant.",0
