task,episode,gt_error_type,gt_failure_reason,pred_failure_reason,human_score
makeCoffee,makeCoffee-7,execution,"The robot never executed the action to pour water from mug after cleaning it. As a result, the mug cannot be filled with coffee.","At 00:32, the robot prematurely turned off the faucet immediately after filling the mug, causing the failure because the mug was still dirty and required cleaning before coffee could be brewed. The robot failed to recognize that the dirty mug needed to be washed or replaced before proceeding with the coffee-making task.",
makeCoffee,makeCoffee-8,execution,"The mug is dirty at the beginning of the task execution, and the robot never cleaned the mug.","At 00:30, the robot failed to brew coffee because it placed a dirty, empty mug into a coffee machine that was still turned off. The failure was caused by the robot proceeding with the task without first turning on the coffee machine or cleaning the mug.",
makeSalad,makeSalad-1,execution,Wrong order - knife is put on countertop before slicing tomato,"At 02:05, the robot failed to slice the potato because the visual observation indicated that the potato was still whole and not inside the robot's gripper, despite the action command to slice it. This suggests the robot either failed to grasp the potato or misidentified its state as ready for slicing when it was not.",
makeSalad,makeSalad-10,execution,"Failed to successfully execute (pick_up, TomatoSliced)","At 02:38, the robot failed to successfully place the lettuce slice into the bowl, as the observation indicates the slice remains ""above bowl"" rather than inside it. This failure occurred because the robot's action to put the lettuce slice in the bowl did not result in the intended state change, leaving the ingredient outside the container.",
makeSalad,makeSalad-3,execution,Wrong plan - apple instead of tomato,"At 03:20, the robot failed to successfully close the fridge door, as indicated by the auditory observation of an object dropping or cracking on a hard surface. This suggests that the bowl containing the salad slices likely fell out of the gripper or the fridge during the closing action, causing the mechanical failure.",
makeSalad,makeSalad-2,execution,Wrong plan - potato slice is put in pan instead of the bowl,"At 02:31, the robot incorrectly attempted to place the potato slice into the clean pan instead of the bowl, likely due to a navigation or object recognition error where it mistook the pan for the target container. This action violated the task requirement to store the salad ingredients in the bowl before refrigeration, causing the failure.",
makeSalad,makeSalad-4,planning,Wrong perception: pan and bowl,"At 03:24, the robot failed to place the salad bowl into the fridge because it mistakenly picked up the pan instead of the bowl at 03:08. Consequently, the robot placed the pan inside the open fridge while leaving the bowl containing the prepared salad on the countertop.",
makeSalad,makeSalad-6,execution,"Failed to successfully execute (pick_up, Bowl)","At 02:46, the robot successfully opened the fridge but immediately failed to place the salad bowl inside, as evidenced by the repeated ""Move to fridge"" actions and the auditory observation of an object dropping or cracking. The failure occurred because the robot could not execute the final step of storing the salad in the refrigerator, leaving the prepared ingredients on the countertop instead of in the fridge.",
makeSalad,makeSalad-7,execution,"Missing (pick_up, LettuceSliced), (put_in, LettuceSliced, Bowl)","At 03:10, the robot failed to successfully close the fridge door, as indicated by the auditory observation of an object dropping or cracking on a hard surface. This suggests that the robot likely dropped the bowl (or another object) while attempting to close the door, causing a collision or spillage that prevented the task from completing safely.",
makeSalad,makeSalad-5,execution,Missing step - slice potato,"At 02:30, the robot failed to successfully place the lettuce slice into the bowl, as the observation indicates the slice is merely ""above"" the bowl rather than inside it. This failure likely occurred because the robot attempted to drop the item without first aligning the bowl or adjusting its grip to ensure a proper placement.",
makeSalad,makeSalad-8,execution,"Failed to successfully execute (put_on, Tomato, CounterTop)","At 01:19, the robot failed to place the tomato into the bowl because its gripper still held the tomato, and the action log incorrectly recorded the result as ""Put tomato on countertop"" despite the visual observation showing the tomato remained inside the gripper. This indicates a failure in the robot's execution or perception to successfully deposit the ingredient into the bowl as intended.",
storeEgg,storeEgg-10,execution,"Missing (pick_up, Egg)","At 00:57, the robot failed to store the egg because it closed the fridge door while the egg was still outside, leaving the gripper empty. This failure was likely caused by the robot misinterpreting the open fridge state or failing to execute a pick-and-place action to retrieve the egg from the countertop before closing the door.",
storeEgg,storeEgg-1,execution,Wrong plan - robot puts pan instead of bowl in the fridge,"At 01:03, the robot failed to store the egg because it closed the fridge door while the egg was still missing from its gripper, as indicated by the observation ""nothing is inside robot gripper."" The auditory observation of an object dropping or cracking at this moment suggests the robot likely dropped the egg or attempted to close the door with an empty gripper, preventing the task completion.",
makeSalad,makeSalad-9,execution,Dropped Bowl,"At 03:34, the robot failed to place the bowl containing the salad into the fridge because the bowl was not in its gripper; instead, the robot observed that the bowl had fallen out of its grasp and was lying on the countertop, likely due to a collision or loss of grip that occurred while moving toward the fridge between 03:22 and 03:33.",
storeEgg,storeEgg-2,planning,lettuce is blocking the egg,"At 00:16, the robot failed to successfully pick up the egg because the auditory observation of an object dropping or cracking, combined with the visual confirmation that the gripper remained empty, indicates the egg was dropped or shattered upon contact with the hard surface of the fridge shelf. This loss of the object prevented the robot from completing the task of storing the egg in the bowl.",
storeEgg,storeEgg-3,execution,Wrong plan - robot puts egg in the pan instead of bowl,"At 01:05, the robot failed to store the egg because it closed the fridge door while the egg was still sitting on the countertop outside, leaving the object unsecured. This action was likely triggered by a navigation or task-planning error where the robot prioritized closing the appliance over placing the egg inside, resulting in the egg being left behind.",
storeEgg,storeEgg-4,planning,Ambiguous plan - says some container (maps to pan),"At 01:05, the robot failed to store the egg because it closed the fridge door while the egg was still sitting on the countertop outside, leaving the object unsecured. This action was likely triggered by a navigation or task-planning error where the robot prioritized closing the appliance over placing the egg inside, resulting in the egg being left behind.",
storeEgg,storeEgg-7,execution,Missing step of open fridge before pick up the egg,"At 00:15, the robot failed to pick up the egg because it repeatedly moved to the egg's location without successfully grasping it, likely due to the fridge being closed or the egg being inaccessible, resulting in an empty gripper.",
storeEgg,storeEgg-5,planning,Wrong execution - policy puts egg in pan instead of bowl,"At 01:05, the robot failed to store the egg because it closed the fridge door while the egg was still sitting on the countertop outside, leaving the task incomplete. This failure was caused by the robot's inability to retrieve the egg from the countertop and return it to the fridge before closing the door.",
storeEgg,storeEgg-6,planning,Wrong perception - potato detected as egg,"At 01:05, the robot failed to store the egg because it closed the fridge door while the egg was still sitting on the countertop, leaving the object outside the refrigerator. This action was likely caused by the robot's inability to locate or pick up the egg from the countertop after placing it there at 00:43, resulting in the fridge being closed empty.",
storeEgg,storeEgg-8,execution,Dropped Bowl,"At 01:05, the robot failed to store the egg because it closed the fridge door while the egg was still on the countertop outside, leaving the object unsecured. This action was likely triggered by a misinterpretation of the environment or a premature command, as the auditory observation of an object dropping or cracking suggests the egg may have fallen or been damaged during the door-closing sequence.",
switchDevices,switchDevices-1,execution,Wrong Plan: TV switched off and laptop turned on,"The robot plan failed because it included an incorrect action to ""Toggle off television"" instead of turning it on, and it completely omitted the necessary steps to close the laptop and turn it off before placing it on the stand. Consequently, the final state left the television off and the laptop open and on, violating the task's success conditions.",
switchDevices,switchDevices-10,execution,"Missing (pick_up, RemoteControl)","At 01:04, the robot attempted to turn on the television but failed because the visual observation still indicated that the television was turned off, suggesting the toggle action did not succeed. This failure occurred despite the robot having successfully closed the laptop and placed it on the TV stand in earlier steps.",
storeEgg,storeEgg-9,execution,"Failed to successfully execute (open_obj, Fridge)","At 00:15, the robot failed to open the fridge door despite executing the ""Open fridge"" action, as the visual observation still reported the fridge as closed. This failure was likely caused by the robot's inability to successfully interact with the door handle or latch, preventing access to the interior where the egg needs to be stored.",
switchDevices,switchDevices-2,planning,Wrong Order: of pick up remote control and toggle on television,"At 00:55, the robot attempted to toggle the television on, but the action failed because the visual observation still indicated that the television was turned off. This suggests the robot's command to switch on the TV was either not executed successfully or the system failed to register the change in the television's state.",
switchDevices,switchDevices-3,execution,Wrong Plan: Opens the laptop again,"The robot plan failed because it explicitly included a step to ""Open laptop"" at 00:47, which undid the successful action of closing the laptop performed earlier in the sequence. Consequently, the final state of the laptop being open violates the task requirement for the laptop to be closed on the TV stand.",
switchDevices,switchDevices-4,execution,Wrong Plan: Floorlamp turned on instead of television,"The robot failed because it incorrectly identified the floor lamp as the target object instead of the laptop, resulting in the action to toggle off the lamp at 00:24 while the laptop remained untouched in the armchair. This indicates a failure in object recognition or task prioritization, causing the robot to ignore the primary goal of closing and moving the laptop.",
switchDevices,switchDevices-5,execution,Wrong Plan: Laptop is put in garbage can instead of TV stand,"The robot plan failed because it incorrectly identified the garbage can as the target location for the laptop, resulting in the laptop being placed inside the garbage can instead of on the TV stand. Consequently, the final state did not satisfy the goal condition of having the closed laptop resting on the TV stand.",
switchDevices,switchDevices-6,planning,Book is blocking remote control,"At 00:51, the robot failed to pick up the remote control despite moving towards it, as the visual observation still reported that the gripper was empty while the remote remained on the coffee table. This failure was likely caused by the robot's inability to successfully grasp the object, possibly due to a misalignment, a slippery surface, or a failure in the vision-to-action control loop.",
switchDevices,switchDevices-7,execution,Miss step of close laptop,"The robot plan failed because it omitted the critical step of closing the laptop before placing it on the TV stand, leaving the laptop in an open state despite successfully positioning it and turning on the television.",
switchDevices,switchDevices-8,execution,Dropped RemoteControl,"At 01:07, the robot attempted to toggle the television on, but the action failed because the visual observation still indicated that the television was turned off. This suggests the robot's command to switch on the TV was either not executed successfully or the system failed to register the change in the television's state.",
toastBread,toastBread-1,execution,Dropped BreadSliced,"At 00:45, the robot failed to toast the bread because it attempted to place a bread slice into a toaster that was still turned off. The failure was caused by the robot moving to the toaster without first activating the appliance, as evidenced by the observation that the toaster remained ""turned off"" immediately after the action.",
switchDevices,switchDevices-9,execution,"Failed to successfully execute (put_on, Laptop, TVStand)","At 00:40, the robot failed to place the laptop on the TV stand because its gripper still held the device, as indicated by the observation ""laptop is inside robot gripper"" despite the action command to put it down. This suggests the robot either could not successfully release the object or misinterpreted the success of the placement action.",
toastBread,toastBread-10,execution,The robot forgot to pick up the bread slice from the countertop before moving to the toaster.,"At 00:42, the robot attempted to place a bread slice into the toaster, but the failure occurred because the toaster was still turned off, preventing the toasting process from starting. The robot had correctly sliced the bread and moved to the toaster, but it failed to activate the appliance before attempting to insert the bread.",
toastBread,toastBread-2,planning,The robot cannot pick up knife due to the pot occluding the knife.,"At 00:23, the robot failed to pick up the knife because a pot was blocking it on the countertop, preventing the gripper from successfully grasping the object despite repeated attempts to move to the knife's location.",
toastBread,toastBread-4,execution,The robot failed to execute the slice bread action.,"At 00:31, the robot attempted to slice the bread but failed because the visual observation still indicated that the bread was ""not sliced"" despite the action being executed. This suggests the robot either could not successfully cut the bread or failed to update its internal state to reflect that the slicing action was completed.",
toastBread,toastBread-6,execution,The robot never picked up a knife and thus cannot slice the bread.,"At 00:28, the robot attempted to slice the bread but failed because its gripper was empty, as indicated by the observation ""nothing is inside robot gripper."" This suggests the robot did not successfully grasp the bread before attempting the slicing action.",
toastBread,toastBread-5,execution,The robot failed to put bread slice inside toaster.,"At 00:45, the robot failed to place the bread slice into the toaster because the toaster was observed to be turned off, and the robot's gripper still held the bread slice instead of releasing it inside the appliance. This indicates the robot likely detected the inactive state of the toaster and aborted the insertion action, preventing the task from proceeding.",
toastBread,toastBread-3,planning,"The robot cannot put bread slice inside the toaster due to a cellphone on top of the toaster, blocking the slots.","At 00:47, the robot failed to place the bread slice into the toaster because it deposited the bread on top of a cellphone that was already resting on the toaster's surface. This obstruction prevented the bread from entering the toaster slots, causing the task to fail.",
toastBread,toastBread-7,execution,"The robot never sliced the bread, and the unsliced bread cannot be put inside the toaster.","The robot plan failed because it did not include a step to slice the bread before placing it in the toaster, resulting in the final state where the bread remains unsliced and resting on top of the appliance rather than being inside it.",
toastBread,toastBread-8,execution,"The robot did not put the knife down after slicing the bread. As a result, the gripper was occupied by the knife and it could not pick up the bread slice.","At 00:50, the robot failed to successfully pick up the bread slice because it attempted to grasp the bread while still holding the knife in its gripper. The failure was caused by the robot not placing the knife down after slicing the bread, leaving no free space in the gripper to acquire the bread slice.",
toastBread,toastBread-9,execution,"The robot toggled on the toaster before trying to put the bread slice inside the toaster. As a result, the bread slice ended up on top of the toaster instead of inside it.","The robot plan failed because the goal to put the bread slice inside the toaster was executed after the toaster was already turned on, but the final observation shows the bread slice is resting on top of the toaster rather than inside it. This indicates that the action to insert the bread into the toaster was either not performed or not completed successfully despite the plan listing it as a goal.",
warmWater,warmWater-1,planning,Wrong order of toggle on microwave and close microwave,"At 01:04, the robot attempted to turn on the microwave to heat the water, but the action failed because the microwave remained in the ""turned off"" state despite the toggle command. This failure occurred because the robot had previously placed the mug inside the open microwave at 01:01, but the appliance was never successfully closed or powered on before the command was issued.",
warmWater,warmWater-10,execution,"Failed to successfully execute (toggle_on, Faucet)","At 00:21, the robot attempted to turn on the faucet to fill the mug with water, but the visual observation still showed the faucet as ""turned off"" and the mug as ""empty and clean,"" indicating the action failed to activate the water flow. This failure likely occurred because the robot's control command did not successfully register with the physical faucet mechanism or the perception system failed to detect the change in the faucet's state.",
warmWater,warmWater-3,planning,Incomplete Plan: missed steps for serving the mug,"At 01:10, the robot prematurely turned off the microwave immediately after turning it on, causing the water in the mug to fail to heat up. This failure occurred because the robot likely misinterpreted the auditory observation of running water (which was actually from the sink, as noted at 01:04) as a signal that the heating cycle was complete or unsafe, leading to an incorrect early shutdown.",
warmWater,warmWater-2,planning,Wrong order of filling water and microwaving,"At 00:53, the robot failed to serve the water because it incorrectly turned off the faucet while the mug was still sitting in the sink, leaving the water cold and unattended. This error occurred immediately after the robot filled the mug at 00:50 but before it could pick up the mug and transport it to the dining table.",
warmWater,warmWater-4,planning,Wrong Plan: serves glass instead of the mug with water,"At 01:10, the robot failed to heat the water because it immediately turned off the microwave after turning it on, likely due to a misinterpretation of the ""water runs in sink"" auditory observation as a leak or error signal. This premature shutdown prevented the microwave from heating the mug, causing the task to fail.",
warmWater,warmWater-6,planning,Wrong perception: glass and mug,"At 00:26, the robot prematurely turned off the faucet immediately after filling the mug, causing the water to run down the drain instead of being heated. This failure occurred because the robot did not proceed to heat the water in the microwave or kettle as required by the task of serving ""warm water.""",
warmWater,warmWater-7,execution,Wrong Plan: puts cup inside microwave instead of mug filled with water,"At 00:26, the robot prematurely turned off the faucet immediately after filling the mug, causing the water to run down the drain instead of heating up. This failure occurred because the robot did not proceed to heat the water in the microwave or kettle as required by the task of serving ""warm water.""",
warmWater,warmWater-8,execution,Missing step to pour wine out of the mug,"At 00:26, the robot incorrectly turned off the faucet immediately after filling the sink, causing the water to run away instead of being used to warm the wine-filled mug. This action failed the task of serving warm water because the robot did not transfer the mug to a heating source or pour the water into a serving glass before stopping the flow.",
waterPlant,waterPlant-1,execution,Incomplete Plan - Pot is filled with wine already,"The robot plan failed because the robot picked up a pot containing wine instead of water, leading to the house plant being filled with wine rather than water. Additionally, the plan included an unnecessary step of turning the faucet off immediately after turning it on, which prevented the robot from filling the pot with water in the sink.",
warmWater,warmWater-5,planning,Microwave already occupied,"At 01:35, the robot attempted to place the cup inside the microwave while a bowl was already present inside, causing the cup to drop or crack upon impact with the hard surface. This failure occurred because the robot failed to clear the existing bowl from the microwave before attempting to heat the water in the cup.",
waterPlant,waterPlant-10,execution,"Failed to successfully execute (pick_up, Pot)","At 00:31, the robot prematurely turned off the faucet while the pot was still filling, causing water to run continuously into the sink instead of filling the pot. This failure occurred because the robot likely misinterpreted the ""filled"" state or failed to detect the rising water level, leading to unnecessary water waste and an incomplete watering task.",
warmWater,warmWater-9,execution,Wrong Plan: Pours water from mug after microwaving and before serving,"At 00:26, the robot prematurely turned off the faucet immediately after filling the mug, causing the water to run down the drain instead of being heated. This failure occurred because the robot did not proceed to heat the water in the microwave or kettle as required by the task of serving ""warm water.""",
waterPlant,waterPlant-2,execution,Wrong Plan - pot is put on countertop instead of inside sink,"At 00:29, the robot incorrectly turned off the faucet while the pot remained empty and out of reach, preventing it from being filled with water. This failure occurred because the robot failed to pick up the pot before toggling the faucet off, despite having successfully turned the water on at 00:26.",
