cell,episode,stem,options,answer
Q2xR3,boilWater-1,Which action caused the faucet to change from 'turned off' to 'turned on'?,A:toggle off the faucet | B:toggle on the second stove burner | C:an option not listed here | D:toggle on the faucet | E:pick up the faucet,D
Q2xR3,boilWater-1,Which action caused the faucet to change from 'turned on' to 'turned off'?,A:slice the fourth stove burner | B:pick up the pot | C:toggle off the faucet | D:an option not listed here | E:toggle off the fourth stove burner,C
Q2xR4,boilWater-1,Which action caused the faucet to change from 'turned off' to 'turned on'?,A:pick up the faucet | B:an option not listed here | C:toggle off the faucet | D:toggle on the faucet | E:toggle on the second stove burner,D
Q2xR4,boilWater-1,Which action caused the faucet to change from 'turned on' to 'turned off'?,A:slice the fourth stove burner | B:toggle off the fourth stove burner | C:pick up the pot | D:toggle off the faucet | E:an option not listed here,D
Q3xR2,boilWater-1,"The robot's goal is: a pot is filled with water, the pot is on top of a stove burner that is turned on. The plan below has exactly one required step removed. Which step is missing?",A:put the pot in the sink | B:pick up the pot | C:put the potato in the sink | D:slice the fourth stove burner | E:an option not listed here,A
Q3xR2,boilWater-1,"The robot's goal is: a pot is filled with water, the pot is on top of a stove burner that is turned on. The plan below has exactly one required step removed. Which step is missing?",A:slice the third stove burner | B:toggle on the faucet | C:an option not listed here | D:pick up the pot | E:toggle on the second stove burner,B
Q3xR3,boilWater-1,"The robot's goal is: a pot is filled with water, the pot is on top of a stove burner that is turned on. The plan below has exactly one required step removed. Which step is missing?",A:put the potato in the sink | B:put the pot in the sink | C:slice the fourth stove burner | D:pick up the pot | E:an option not listed here,B
Q3xR3,boilWater-1,"The robot's goal is: a pot is filled with water, the pot is on top of a stove burner that is turned on. The plan below has exactly one required step removed. Which step is missing?",A:toggle on the second stove burner | B:an option not listed here | C:pick up the pot | D:toggle on the faucet | E:slice the third stove burner,D
Q3xR4,boilWater-1,"The robot's goal is: a pot is filled with water, the pot is on top of a stove burner that is turned on. The plan below has exactly one required step removed. Which step is missing?",A:slice the fourth stove burner | B:put the pot in the sink | C:pick up the pot | D:put the potato in the sink | E:an option not listed here,B
Q3xR4,boilWater-1,"The robot's goal is: a pot is filled with water, the pot is on top of a stove burner that is turned on. The plan below has exactly one required step removed. Which step is missing?",A:toggle on the faucet | B:slice the third stove burner | C:pick up the pot | D:toggle on the second stove burner | E:an option not listed here,A
Q4xR2,boilWater-1,"The robot is following a plan to achieve: a pot is filled with water, the pot is on top of a stove burner that is turned on. What is the next action in the plan?",A:toggle off the faucet | B:put the tomato in the sink | C:pick up the first stove burner | D:put the pot in the sink | E:an option not listed here,D
Q4xR2,boilWater-1,"The robot is following a plan to achieve: a pot is filled with water, the pot is on top of a stove burner that is turned on. What is the next action in the plan?",A:an option not listed here | B:toggle on the faucet | C:toggle on the first stove burner | D:pick up the first stove burner | E:pick up the pot,B
Q4xR3,boilWater-1,"The robot is following a plan to achieve: a pot is filled with water, the pot is on top of a stove burner that is turned on. What is the next action in the plan?",A:toggle off the faucet | B:put the tomato in the sink | C:put the pot in the sink | D:pick up the first stove burner | E:an option not listed here,C
Q4xR3,boilWater-1,"The robot is following a plan to achieve: a pot is filled with water, the pot is on top of a stove burner that is turned on. What is the next action in the plan?",A:toggle on the first stove burner | B:pick up the first stove burner | C:an option not listed here | D:pick up the pot | E:toggle on the faucet,E
Q4xR4,boilWater-1,"The robot is following a plan to achieve: a pot is filled with water, the pot is on top of a stove burner that is turned on. What is the next action in the plan?",A:put the tomato in the sink | B:put the pot in the sink | C:an option not listed here | D:pick up the first stove burner | E:toggle off the faucet,B
Q4xR4,boilWater-1,"The robot is following a plan to achieve: a pot is filled with water, the pot is on top of a stove burner that is turned on. What is the next action in the plan?",A:pick up the pot | B:an option not listed here | C:toggle on the first stove burner | D:pick up the first stove burner | E:toggle on the faucet,E
