task,pred_failure_reason,gt_failure_reason,human_score
putPearDrawer2,"At 00:39, the robot failed to open the drawer as intended, evidenced by the observation that the drawer remains closed while the robot's gripper is empty. This failure likely occurred because the robot could not successfully grasp the drawer handle or execute the opening motion, preventing it from proceeding with the task of placing the pear inside.",The robot failed to close the drawer because the drawer is too full.,0
putPearDrawer3,"The robot failed to pick up the pear because it attempted to grasp pear-1, which was already inside pear-2, leaving the gripper empty. This indicates the robot could not successfully separate or access the target object due to the nested arrangement of the pears.","The robot gripper is occupied by the pear when it attempted to open drawer, as a result, the drawer cannot be opened. The robot should open drawer first before picking up the pear.",0
sauteeCarrot1,"The robot failed to pick up the knife because its gripper was empty, indicating it could not grasp the object. This suggests a failure in the robot's perception or manipulation system to successfully acquire the required tool for cooking the carrot.",The robot has mistakenly picked up a spoon instead of knife to slice carrot.,0
sauteeCarrot2,"The robot failed to cook the carrot because, despite attempting to pick up a knife, its gripper remained empty at the 00:39 mark, indicating it could not grasp the tool needed for the task.",The carrot is put on top of the stove burner instead of on the saucepan.,0
sauteeCarrot3,"At 00:41, the robot failed to slice the carrot because it picked up a knife while the carrot was still resting on the stove burner, leaving the vegetable unsliced and the gripper empty. The failure was caused by a lack of proper object manipulation, as the robot did not first move the carrot to a safe location before attempting to cut it.",The robot accidentally dropped the knife when trying to slice the carrot.,0
sauteeCarrot4,"The robot failed to cook the carrot because, despite attempting to pick up a knife, its gripper remained empty at 00:32, indicating it could not grasp the tool needed for the task.","The robot never toggled on the stove burner, as a result, the carrot cannot be cooked.",0
secureObjects1,"At 00:43, the robot failed to secure the pear because its gripper was empty despite the visual confirmation of the object's presence. This indicates a failure in the grasping or pickup action, preventing the robot from holding the item as intended.",The knife should be placed inside the drawer and pear in fridge. The current placements are flipped.,0
putFruitsBowl1,"The robot failed to pick up the strawberry because its gripper is empty, while the visual observation incorrectly indicates that the white bowl is inside the strawberry. This suggests a severe perception error where the robot misidentified the bowl's location relative to the fruit, preventing it from successfully grasping the strawberry to place it in the bowl.",The robot should not put carrot in the bowl since it is not a fruit.,0
putFruitsBowl2,"At 00:37, the robot failed to pick up an apple because it mistakenly grasped apple-2, which was already containing apple-1, resulting in no object being successfully held in the gripper. This failure was caused by the robot's inability to distinguish between the outer and inner apples or to avoid grasping an object that was already occupied.",The robot did not put strawberry in the bowl since it is a fruit.,0
makeCoffee1,"The robot failed to pick up the cup because its visual observations indicate that the coffee machines are nested or overlapping in an impossible physical configuration (one inside the other and both on the table), which likely confused the object detection or localization system. This erroneous perception prevented the robot from correctly identifying the cup's location or a valid path to grasp it, resulting in an empty gripper at the time of failure.",The robot failed to toggle on coffee machine.,0
makeCoffee2,"The robot failed to pick up the cup because it was already located inside coffee machine-2, which was itself inside coffee machine-1, leaving the robot's gripper empty. This suggests the robot either misidentified the cup's location or attempted to grasp an object that was inaccessible within the nested machines.","A mug is already inside the coffee machine, as a result, the cup cannot be put inside.",0
makeCoffee3,"The robot failed because the cups were nested inside one another in a chaotic configuration (e.g., a blue cup inside a pink cup), making it impossible to pick up a single cup without disturbing the others. This invalid state prevented the robot from successfully retrieving a cup to brew coffee.",The robot mistakenly picked up the pink cup instead of the blue cup after filling blue cup with coffee.,0
heatPot1,"At 00:23, the robot failed to pick up the pot because its gripper was empty while the pot remained on the stove burner, indicating that the grasping action did not successfully secure the object. This failure prevented the robot from proceeding with the task of pre-heating the pot.",The robot cannot pick up the pot due to a cutting board blocking the pot.,0
heatPot2,"At 00:55, the robot failed to pre-heat the pot because it placed the pot into the sink instead of on the stove burner, likely due to a misidentification of the sink as the target location or a collision with the stacked pots. Consequently, the pot was not positioned on a heat source, preventing the pre-heating task from succeeding.",The robot failed to toggle on stove burner.,0
appleInFridge1,"At 00:27, the robot failed to successfully grasp the apple, as evidenced by the empty gripper despite the action of picking it up. This failure prevented the robot from completing the subsequent steps of placing the apple in the bowl and storing it in the fridge.",The robot put the dark blue bowl (empty) instead of the white bowl with apple inside the fridge.,0
appleInFridge2,"At 01:03, the robot failed to place the apple into the bowl because the visual observation indicated the apple remained inside the robot's gripper rather than being successfully deposited. This suggests the robot either misjudged the bowl's location or lacked the precise control to release the apple into the container.",The robot put the bowl with apple on top of the fridge instead of inside it.,0
appleInFridge3,"At 00:54, the robot failed to store the apple in the bowl because the apple remained on the table instead of being inside the gripper or the bowl. This indicates that the ""Put apple in bowl"" action did not successfully grasp or transfer the apple, leaving the object in its original location.",The robot did not open the firdge before attempting to put the bowl inside.,0
appleInFridge4,"At 00:27, the robot failed to place the apple into the bowl because it incorrectly grasped the bowl itself instead of the apple, likely due to a misinterpretation of the visual data where the apple appeared to be inside or on top of the bowl. This error prevented the robot from completing the task of storing the apple in the bowl before moving it to the fridge.",The robot never closed the fridge door.,0
heatPotato1,"The robot failed to pick up the potato because its visual observations incorrectly identified the dark blue bowl as being inside the potato, which is itself inside the microwave, rather than recognizing that the potato is inside the bowl. This severe object relationship hallucination prevented the robot from correctly locating the target object in its gripper.",The robot failed because it attempted to toggle on the microwave while the microwave door was still open.,0
heatPotato2,"At 00:38, the robot failed to pick up the potato because the dark blue bowl containing it was still inside the closed microwave, leaving the robot's gripper empty. The failure was caused by the robot's inability to access the food item while it remained enclosed within the microwave.",The robot failed because it attempted to open the microwave door while it was still toggled on.,0
