task,episode,step_index,candidates_json,selected_label,selected_action,curr_state_after,done,confidence,entropy,option_probs,score_status
boilWater,boilWater-10,3,"[{""action"": ""toggle_off"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""Faucet-1"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""Faucet-2"", ""obj2"": null}]",B,"{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}","sink, faucet (turned on), pot (filled with water and clean). pot is inside robot gripper.",False,0.970506757390379,0.08338836854298987,"{""A"": 0.970506757390379, ""B"": 0.0293067674508617, ""C"": 0.00015378783808480035, ""D"": 2.6724319078714307e-05, ""E"": 5.963001595891263e-06}",available
boilWater,boilWater-10,4,"[{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-1""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-2""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-3""}]",A,"{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}","fourth stove burner (turned on), pot (filled with water and clean), third stove burner (turned off), first stove burner (turned off), second stove burner (turned off). pot is on top of fourth stove burner. nothing is inside robot gripper.",False,0.9998596016143383,0.0009340078692582374,"{""A"": 0.9998596016143383, ""B"": 1.669936088930797e-05, ""C"": 2.753259150529986e-05, ""D"": 9.60981868611971e-05, ""E"": 6.824640603815206e-08}",available
boilWater,boilWater-10,5,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""SinkBasin""}]",E,null,,True,0.9999999831513454,2.0861078795080527e-07,"{""A"": 5.602796343137686e-09, ""B"": 7.582560300155965e-10, ""C"": 9.237449506331996e-09, ""D"": 1.2501528453233487e-09, ""E"": 0.9999999831513454}",available
boilWater,boilWater-2,0,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}, {""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}]",E,null,,True,0.9999999997912699,3.163169056243565e-09,"{""A"": 9.056076987782592e-11, ""B"": 6.224144621608617e-11, ""C"": 9.999999997912708e-13, ""D"": 5.492788349808173e-11, ""E"": 0.9999999997912699}",available
boilWater,boilWater-3,0,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""StoveBurner-1"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""StoveBurner-2"", ""obj2"": null}]",E,null,,True,0.9999999972214968,3.7037657406560936e-08,"{""A"": 2.0611536167116358e-09, ""B"": 3.581747920331283e-10, ""C"": 9.999999972214979e-13, ""D"": 3.581747920331283e-10, ""E"": 0.9999999972214968}",available
boilWater,boilWater-4,0,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}, {""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}]",A,"{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}","second stove burner (turned off), fourth stove burner (turned on), third stove burner (turned off), first stove burner (turned off), pot (empty and clean). pot is inside robot gripper.",False,0.9908684454189737,0.03363607857266593,"{""A"": 0.9908684454189737, ""B"": 0.0005480338153269691, ""C"": 0.008572691233246938, ""D"": 4.741423792098745e-06, ""E"": 6.088108660342763e-06}",available
boilWater,boilWater-4,1,"[{""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""CounterTop""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-2""}]",A,"{""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}","faucet (turned off), sink, pot (empty and clean). pot is inside sink. pot is on the right of soap bottle. nothing is inside robot gripper.",False,0.9999996825928626,3.1845456464737023e-06,"{""A"": 0.9999996825928626, ""B"": 3.850742364111957e-09, ""C"": 3.059023555621493e-07, ""D"": 4.5990559057629613e-10, ""E"": 7.1941338548651615e-09}",available
boilWater,boilWater-4,2,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""Faucet-1"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""Faucet-2"", ""obj2"": null}]",B,"{""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}","sink, faucet (turned on), pot (filled with water and clean). pot is inside sink. pot is on the right of soap bottle. nothing is inside robot gripper.",False,0.9999884859630206,9.162853724722807e-05,"{""A"": 3.058988573919974e-07, ""B"": 0.9999884859630206, ""C"": 1.0129978916183563e-05, ""D"": 1.0676919225937825e-06, ""E"": 1.0467283293642824e-08}",available
boilWater,boilWater-4,3,"[{""action"": ""toggle_off"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""SoapBottle"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""DishSponge"", ""obj2"": null}]",A,"{""action"": ""toggle_off"", ""obj1"": ""Faucet"", ""obj2"": null}","faucet (turned off), sink, pot (filled with water and clean). pot is inside sink. pot is on the right of soap bottle. nothing is inside robot gripper.",False,0.9996640646013433,0.0018812248589021804,"{""A"": 0.9996640646013433, ""B"": 0.0003353500564818494, ""C"": 4.1385484770881964e-08, ""D"": 2.3815702141031174e-07, ""E"": 3.057996686534869e-07}",available
boilWater,boilWater-4,4,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""CounterTop""}]",A,"{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}","faucet (turned off), sink, pot (filled with water and clean). pot is inside robot gripper.",False,0.9999985732207441,1.2998324154576872e-05,"{""A"": 0.9999985732207441, ""B"": 2.510994562437934e-08, ""C"": 1.3709565785239567e-06, ""D"": 5.6027861884861276e-09, ""E"": 2.510994562437934e-08}",available
boilWater,boilWater-4,5,"[{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-1""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-2""}]",A,"{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}","fourth stove burner (turned on), pot (filled with water and clean), third stove burner (turned off), first stove burner (turned off), second stove burner (turned off). pot is on top of fourth stove burner. nothing is inside robot gripper.",False,0.9999984830164497,1.392241238814705e-05,"{""A"": 0.9999984830164497, ""B"": 1.3709566182805712e-06, ""C"": 1.1253497212498564e-07, ""D"": 3.224180932833616e-08, ""E"": 1.2501506157676598e-09}",available
boilWater,boilWater-4,6,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}, {""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}]",E,null,,True,0.9999999993330204,9.576516672610766e-09,"{""A"": 3.581747927894228e-10, ""B"": 9.999999993330214e-13, ""C"": 9.056076983632648e-11, ""D"": 2.172439933630044e-10, ""E"": 0.9999999993330204}",available
boilWater,boilWater-5,0,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}, {""action"": ""toggle_off"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}]",A,"{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}",pot (empty and clean). pot is inside robot gripper.,False,0.9999918254467959,6.552831373529955e-05,"{""A"": 0.9999918254467959, ""B"": 5.31574472850483e-08, ""C"": 7.889257157617188e-06, ""D"": 1.4449678519927786e-07, ""E"": 8.764181403497992e-08}",available
boilWater,boilWater-5,1,"[{""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""CounterTop""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""SinkBasin""}]",D,"{""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""SinkBasin""}","faucet (turned off), sink, pot (empty and clean). pot is inside sink. pot is on the right of soap bottle. nothing is inside robot gripper.",False,0.9959298239339637,0.016443588170390357,"{""A"": 0.0040701376122364245, ""B"": 7.164855152136861e-09, ""C"": 1.9476095563594798e-08, ""D"": 0.9959298239339637, ""E"": 1.1812849090813446e-08}",available
boilWater,boilWater-5,2,"[{""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""open"", ""obj1"": ""Cabinet"", ""obj2"": null}, {""action"": ""open"", ""obj1"": ""Fridge"", ""obj2"": null}]",A,"{""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}","sink, faucet (turned on), pot (filled with water and clean). pot is inside sink. pot is on the right of soap bottle. nothing is inside robot gripper.",False,0.9999999416735245,6.674092369724833e-07,"{""A"": 0.9999999416735245, ""B"": 3.2241865492012844e-08, ""C"": 9.736199745131316e-10, ""D"": 9.999999416735254e-13, ""E"": 2.510999009286251e-08}",available
boilWater,boilWater-5,3,"[{""action"": ""toggle_off"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""Faucet-1"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""Faucet-2"", ""obj2"": null}]",A,"{""action"": ""toggle_off"", ""obj1"": ""Faucet"", ""obj2"": null}","faucet (turned off), sink, pot (filled with water and clean). pot is inside sink. pot is on the right of soap bottle. nothing is inside robot gripper.",False,0.9997696404511657,0.0014050955401512615,"{""A"": 0.9997696404511657, ""B"": 0.00020342143457110522, ""C"": 1.669784817684069e-05, ""D"": 1.0127756870480577e-05, ""E"": 1.1250921601432847e-07}",available
boilWater,boilWater-5,4,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""Pan"", ""obj2"": null}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}, {""action"": ""toggle_on"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}]",A,"{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}","faucet (turned off), sink, pot (filled with water and clean). pot is inside robot gripper.",False,0.9999898438331427,7.899309937760491e-05,"{""A"": 0.9999898438331427, ""B"": 1.0467302498919786e-08, ""C"": 1.0129987841863658e-05, ""D"": 3.850705393875053e-09, ""E"": 1.1861007634433483e-08}",available
boilWater,boilWater-5,5,"[{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-3""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""CounterTop""}]",A,"{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}","fourth stove burner (turned on), pot (filled with water and clean), third stove burner (turned off), first stove burner (turned off), second stove burner (turned off). pan is on top of fourth stove burner. pot is inside robot gripper.",False,0.9999995679801056,4.301611433278893e-06,"{""A"": 0.9999995679801056, ""B"": 3.927863545481039e-07, ""C"": 1.522997974471263e-08, ""D"": 4.5990553786523166e-10, ""E"": 2.3543654581459314e-08}",available
boilWater,boilWater-5,6,"[{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-1""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-2""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-3""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""CounterTop""}]",E,null,,True,0.9033869830583181,0.2026704624277697,"{""A"": 0.0008237823775571207, ""B"": 0.00018381060618402663, ""C"": 0.0003891272418954541, ""D"": 0.09521629671604537, ""E"": 0.9033869830583181}",available
boilWater,boilWater-6,0,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}]",A,"{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}","second stove burner (turned off), fourth stove burner (turned on), third stove burner (turned off), first stove burner (turned off), pot (empty and clean). pot is inside robot gripper.",False,0.9999249707327139,0.0004902472800133109,"{""A"": 0.9999249707327139, ""B"": 7.484619234684878e-05, ""C"": 3.2239469789837884e-08, ""D"": 1.4448714159686896e-07, ""E"": 6.3483280040119835e-09}",available
boilWater,boilWater-6,1,"[{""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""SinkBasin""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""CounterTop""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""CounterTop-1""}]",B,"{""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""SinkBasin""}","sink, pot (empty and clean). pot is inside sink. pot is on the right of soap bottle. nothing is inside robot gripper.",False,0.994779851484759,0.020280314768984228,"{""A"": 0.005220125568939577, ""B"": 0.994779851484759, ""C"": 1.1799203331607832e-08, ""D"": 5.573549002841888e-09, ""E"": 5.573549002841888e-09}",available
boilWater,boilWater-6,2,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""Faucet-1"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""Faucet-2"", ""obj2"": null}]",B,"{""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}","sink, pot (filled with water and clean). pot is inside sink. pot is on the right of soap bottle. nothing is inside robot gripper.",False,0.9922370309986477,0.03254889605275943,"{""A"": 0.003158072913436348, ""B"": 0.9922370309986477, ""C"": 0.004055045888605376, ""D"": 0.0005487907838718704, ""E"": 1.059415438649099e-06}",available
boilWater,boilWater-6,3,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""SoapBottle"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""DishSponge"", ""obj2"": null}]",A,"{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}","sink, pot (filled with water and clean). pot is inside robot gripper.",False,0.9999898453630744,7.897623158978351e-05,"{""A"": 0.9999898453630744, ""B"": 1.0129987857362007e-05, ""C"": 4.944403605476826e-09, ""D"": 9.237362047845384e-09, ""E"": 1.0467302514934207e-08}",available
boilWater,boilWater-6,4,"[{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-1""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-2""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-3""}]",A,"{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}","fourth stove burner (turned on), pot (filled with water and clean), third stove burner (turned off), first stove burner (turned off), second stove burner (turned off). pot is on top of fourth stove burner. nothing is inside robot gripper.",False,0.9999805036111145,0.00014981452438733912,"{""A"": 0.9999805036111145, ""B"": 1.370931804667154e-06, ""C"": 1.370931804667154e-06, ""D"": 1.6701368430893915e-05, ""E"": 5.315684541157598e-08}",available
boilWater,boilWater-6,5,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""SinkBasin""}]",E,null,,True,0.9999999978021012,2.9586120400031294e-08,"{""A"": 1.6052280516574828e-09, ""B"": 4.5990553685440584e-10, ""C"": 9.999999978021023e-13, ""D"": 1.317651424113482e-10, ""E"": 0.9999999978021012}",available
boilWater,boilWater-7,0,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""StoveBurner-3"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""StoveBurner-1"", ""obj2"": null}]",A,"{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}","faucet (turned off), sink, pot (filled with water and clean). pot is inside robot gripper.",False,0.9999999973691944,3.515992149238025e-08,"{""A"": 0.9999999973691944, ""B"": 2.0611536170160635e-09, ""C"": 2.4616969453391384e-10, ""D"": 1.317651423543062e-10, ""E"": 1.9171715087146063e-10}",available
boilWater,boilWater-7,1,"[{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-3""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-2""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-1""}]",A,"{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}","fourth stove burner (turned on), pot (filled with water and clean), third stove burner (turned off), first stove burner (turned off), second stove burner (turned off). pot is on top of fourth stove burner. nothing is inside robot gripper.",False,0.9997348488930626,0.0015368458078165008,"{""A"": 0.9997348488930626, ""B"": 1.3705957780229681e-06, ""C"": 1.759879814986401e-06, ""D"": 0.0002611893229829898, ""E"": 8.313083614436209e-07}",available
