task,episode,status,artifact_mode,replay_available,sim_grounded,coplan_success,num_steps,pred_failure_step,gt_failure_step,pred_failure_reason,gt_failure_reason,error_type,gt_error_type
cookEgg,cookEgg-1,ok,full,True,True,True,8,['00:10'],00:35,"The failure is that by 00:13 the robot is still just holding an uncracked egg after closing the fridge, so it has made no progress toward actually cooking the egg. The root cause first appears at **00:10**, when the robot picks up the egg from the fridge instead of proceeding to crack/use it for cooking, leading to the task stalling.",Dropped Egg,execution,execution
cookEgg,cookEgg-10,ok,full,True,True,False,0,['00:10'],"['00:33', '00:34', '00:35', '00:36', '00:37', '00:38', '00:39', '00:40', '00:41', '00:42', '00:43', '00:44', '00:45', '00:46', '00:47', '00:48', '00:49', '00:50', '00:51', '00:52', '00:53', '00:54', '00:55', '00:56', '00:57', '00:58', '00:59', '01:00']","The failure is that by 00:13 the robot is still just holding an uncracked egg after closing the fridge, so it has made no progress toward actually cooking the egg. The root cause first appears at **00:10**, when the robot picks up the egg from the fridge instead of proceeding to crack/use it for cooking, leading to the task stalling.",The robot toggled on the fourth stove burner but put the pan on the first stove burner instead.,execution,planning
cookEgg,cookEgg-2,ok,full,True,True,False,7,['00:10'],00:58,"The failure is that by 00:13 the robot is still just holding an uncracked egg after closing the fridge, so it has made no progress toward actually cooking the egg. The root cause first appears at **00:10**, when the robot picks up the egg from the fridge instead of proceeding to crack/use it for cooking, leading to the task stalling.",The robot failed to put the pan on the first stove burner because there was already a pot on it.,execution,planning
cookEgg,cookEgg-3,ok,full,True,True,True,0,['00:10'],"['00:47', '00:48', '00:49', '00:50', '00:51', '00:52', '00:53', '00:54', '00:55', '00:56', '00:57', '00:58', '00:59', '01:00']","The failure is that by 00:13 the robot is still just holding an uncracked egg after closing the fridge, so it has made no progress toward actually cooking the egg. The root cause first appears at **00:10**, when the robot picks up the egg from the fridge instead of proceeding to crack/use it for cooking, leading to the task stalling.","A potato is inside the pan at the beginning of the task execution, and the robot never removed it from the pan.",execution,planning
cookEgg,cookEgg-4,ok,full,True,True,True,9,['00:01'],00:05,"Root cause: the robot first went wrong at **00:01**, when it only **moved to the fridge but did not open it or make progress toward getting the egg**. By repeating the same move again at **00:04**, it remained stuck, so at **00:05** the attempted “Open fridge” still left the fridge closed, making the failure observable.",The robot failed to open the fridge.,execution,execution
cookEgg,cookEgg-5,ok,full,True,True,True,8,['00:10'],01:01,"Root cause was at **00:10**: the robot picked up the **egg while it was still uncracked**, which is the first step where progress toward `cookEgg` went wrong. The failure only became apparent by **00:13** when the robot closed the fridge still holding an uncooked, unprepared egg, but the underlying mistake started at pickup.","The robot mis-identified book as pan, and picked up the book instead of the pan. The book cannot be put on the stove burner.",execution,planning
cookEgg,cookEgg-6,ok,full,True,True,False,6,['00:10'],"['01:10', '01:11', '01:12', '01:13', '01:14', '01:15', '01:16', '01:17', '01:18', '01:19', '01:20']","The failure is that by 00:13 the robot is still just holding an uncracked egg after closing the fridge, so it has made no progress toward actually cooking the egg. The root cause first appears at **00:10**, when the robot picks up the egg from the fridge instead of proceeding to crack/use it for cooking, leading to the task stalling.",The robot never cracked the egg and put an uncracked egg in the pan.,execution,execution
cookEgg,cookEgg-7,ok,full,True,True,True,8,['00:01'],"['00:01', '00:02', '00:03', '00:04', '00:05', '00:06', '00:07', '00:08', '00:09', '00:10', '00:11', '00:12', '00:13', '00:14']","The failure was caused by the robot trying to get the egg while the fridge was still closed, so the egg was never accessible or visible. The root cause first occurred at **00:01**, when the robot moved to the fridge but did not open it, and this mistake persisted through later steps until the failed pickup at 00:14.","The robot never opened the fridge, as a result, it could not retrieve the egg from fridge.",execution,execution
cookEgg,cookEgg-8,ok,full,True,True,False,0,['00:10'],"['00:47', '00:48', '00:49', '00:50', '00:51', '00:52', '00:53', '00:54', '00:55', '00:56', '00:57', '00:58', '00:59', '01:00']","The failure is that by 00:13 the robot is still just holding an uncracked egg after closing the fridge, so it has made no progress toward actually cooking the egg. The root cause first appears at **00:10**, when the robot picks up the egg from the fridge instead of proceeding to crack/use it for cooking, leading to the task stalling.","The pan is dirty at the beginning of the task execution, and the robot never cleaned the pan.",execution,execution
cookEgg,cookEgg-9,ok,full,True,True,True,2,['00:10'],"['00:33', '00:34', '00:35', '00:36', '00:37', '00:38', '00:39', '00:40', '00:41', '00:42', '00:43', '00:44']","The failure is that by 00:13 the robot is still just holding an uncracked egg after closing the fridge, so it has made no progress toward actually cooking the egg. The root cause first appears at **00:10**, when the robot picks up the egg from the fridge instead of proceeding to crack/use it for cooking, leading to the task stalling.",The robot did not put down the egg in its gripper before trying to pick up the pan.,execution,execution
heatPotato,heatPotato-1,ok,full,True,True,False,10,['00:42'],00:44,"The failure started at **00:44**, right after the robot picked up the plate at 00:42: while moving to the microwave, the plate and potato were no longer in the gripper, so it appears the robot **dropped or lost the plate/potato during transport**. By 01:10, the robot was trying to put down a plate it was no longer holding, and the microwave had never been loaded or turned on.",Dropped Plate,execution,execution
heatPotato,heatPotato-10,ok,full,True,True,False,3,['01:21'],"['01:31', '01:32', '01:33', '01:34']","The failure was caused by the robot putting the potato/plate down on the countertop instead of placing it into the microwave, and then turning the empty microwave on. The root cause first occurred at **01:21**, when it **put the plate on the first countertop** rather than loading the potato into the microwave.","The robot should not toggle on the microwave before trying to open it. As a result, the robot cannot open a microwave that is turned on.",execution,planning
heatPotato,heatPotato-2,ok,full,True,True,False,10,['01:31'],01:55,"The failure was caused by the robot opening the microwave while a bowl was already inside, leaving no free space to place the plate with the potato; the later “put plate in microwave” action therefore could not succeed. The root cause first appears at 01:31, when the microwave is observed open with a bowl inside and the robot does not remove it before trying to load the plate.","A bowl is already inside the microwave, as a result, the plate cannot be put inside the microwave due to limited space.",execution,planning
heatPotato,heatPotato-3,ok,full,True,True,False,9,['00:33'],"['00:37', '00:38', '00:39', '00:40']","The root cause occurred at 00:33, when the robot moved to the plate even though the plate already had an apple on it. By targeting an occupied plate, the subsequent put action at 00:37 placed the potato on the dining table instead of onto the plate.","An apple is inside the plate already and the robot never removed it, as a result, the potato cannot be put on top of the plate due to limited plate.",execution,planning
heatPotato,heatPotato-4,ok,full,True,True,False,3,['00:39'],01:07,"The failure originated at **00:39** when the robot **put the potato down on the plate instead of carrying it to the microwave**. From that point on, it moved to the microwave empty-handed, so by 01:07 opening the microwave could not lead to heating the potato because the potato was never brought there.",The robot failed to open the microwave.,execution,execution
heatPotato,heatPotato-5,ok,full,True,True,True,10,['00:39'],"['00:41', '00:42', '00:43', '00:44', '00:45', '00:46', '00:47', '00:48', '00:49', '00:50', '00:51', '00:52', '00:53', '00:54', '00:55', '00:56', '00:57', '00:58', '00:59', '01:00', '01:01', '01:02', '01:03', '01:04', '01:05', '01:06', '01:07', '01:08', '01:09', '01:10', '01:11', '01:12']","Root cause: at 00:39, the robot put the potato onto a plate before heating it, which led it to carry the plate-and-potato together to the microwave. This setup appears incompatible with the microwave placement action, so the failure manifested at 01:12 when it could not put the plate in the microwave.","The robot never opened the microwave, as a result, the plate cannot be put inside the microwave.",execution,execution
heatPotato,heatPotato-6,ok,full,True,True,False,10,['00:20'],00:23,"The failure was caused by the robot targeting the wrong object: when attempting to work on the potato, it ended up grasping an apple instead, so the heatPotato task could not proceed correctly. The earliest point this went wrong is **00:20**, when the robot moved to the supposed potato location but the scene observation showed only a plate there, indicating it had already navigated to the wrong target/location.","The robot mis-identified apple as potato, and heated an apple instead of a potato.",execution,planning
heatPotato,heatPotato-7,ok,full,True,True,False,0,['01:17'],"['00:19', '00:20', '00:21', '00:22', '00:23', '00:24', '00:25', '00:26', '00:27', '00:28', '00:29', '00:30', '00:31', '00:32', '00:33', '00:34', '00:35', '00:36', '00:37', '00:38', '00:39']","The failure started at **01:17**, when the robot **moved away from the microwave to the countertop while still holding the plate with the potato**, instead of opening/using the microwave to heat it. By **01:21** it had simply placed the unheated potato on the countertop, so the task failed because the robot never initiated the heating step.","The plate is dirty at the beginning of the task execution, and the robot never cleaned it.",execution,execution
heatPotato,heatPotato-8,ok,full,True,True,True,9,['00:37'],00:34,"Root cause: at **00:37**, the robot **picked up the pan with the potato already on it**, meaning it tried to use the pan as the container for microwaving. This first went wrong because a **metal pan is not suitable for placing in the microwave**, which caused the later failure at 01:45 when the robot could not put the pan into the microwave.",The robot should use a microwave-safe container (e.g. Plate) to heat the potato instead of a pan.,execution,execution
heatPotato,heatPotato-9,ok,full,True,True,True,7,['01:55'],"['01:58', '01:59', '02:00', '02:01']","The failure manifested at 01:58 because the robot tried to start the microwave while its door was still open, so it stayed off. The root cause first occurred at 01:55: after placing the plate and potato inside, the robot did not close the microwave before attempting to toggle it on.","The robot should have closed the microwave before trying to toggle it on. As a result, the robot could not toggle on a microwave that is open.",execution,planning
makeCoffee,makeCoffee-1,ok,full,True,True,False,10,['00:19'],00:19,"Root cause was at **00:19**: after successfully picking up the mug at 00:17, the robot moved while the gripper was already empty, meaning it **dropped or lost the mug** before reaching the sink. The failure became visible at 00:22 when it attempted to put the mug down despite no mug being in the gripper.",Dropped Mug,execution,execution
makeCoffee,makeCoffee-10,ok,full,True,True,True,3,['00:32'],"['00:48', '00:49', '00:50', '00:51', '00:52', '00:53', '00:54']","The failure was caused by the robot filling the mug with water while cleaning it, then later emptying that water into the sink instead of using the mug for coffee preparation. The earliest root-cause step is **00:32**, when the mug became **filled with water and clean** and the robot left it that way, setting up the later mistaken pour at 00:36.","The robot put the mug inside the coffee machine after the coffee machine was turned off, as a result, the mug remained empty.",execution,planning
makeCoffee,makeCoffee-2,ok,full,True,True,True,5,['00:32'],00:38,"The failure was caused by the robot filling the mug with water while cleaning it, then later emptying that water into the sink instead of using the mug for coffee preparation. The earliest root-cause step is **00:32**, when the mug became **filled with water and clean** and the robot left it that way, setting up the later mistaken pour at 00:36.",Dropped Mug,execution,execution
makeCoffee,makeCoffee-3,ok,full,True,True,False,10,['00:35'],0,"Root cause: at **00:35**, the robot picked up a **clean mug that was filled with water**, setting up the next action to dump that water instead of using the mug for coffee. The failure became visible at 00:36 when it **poured the mug into the sink**, but the earliest wrong step was **00:35** because the mug’s water-filled state was not handled correctly for the coffee-making task.","The robot failed to put the mug inside the coffee machine because there was already a cup inside it, occupying the space.",execution,planning
makeCoffee,makeCoffee-4,ok,full,True,True,False,10,['00:36'],"['00:17', '00:18', '00:19', '00:20', '00:21', '00:22', '00:23', '00:24', '00:25', '00:26', '00:27', '00:28', '00:29', '00:30']","The plan never ensured the mug contained coffee; the final state shows it was filled with water, not coffee, so the success condition was not met. The robot also turned the coffee machine off immediately after turning it on, without any step to actually brew/dispense coffee into the mug.","The mug was already filled with water at the beginning of the task execution, and the robot never emptied it.",planning,execution
makeCoffee,makeCoffee-5,ok,full,True,True,False,10,['00:17'],00:22,"The failure is that the robot tried to place the mug on the sink at 00:22, but the mug remained in the gripper, so the place action failed. The root cause first appears at 00:17: the robot picked up a dirty mug from the sink and then stayed around the sink instead of cleaning/preparing it for coffee, leading to the failed and incorrect placement sequence.",The robot failed to put the mug inside the sink (or on top of the sink basin).,execution,execution
makeCoffee,makeCoffee-6,ok,full,True,True,True,5,['00:23'],00:23,"The failure was caused by the robot misidentifying the target object: when it attempted to pick up the mug, it picked up a bowl instead. The earliest point this went wrong is 00:23, because the prior steps only show navigation toward the mug and no incorrect grasp or wrong object in the gripper.","The robot mis-identified bowl as mug, as a result, the bowl cannot be put inside the coffee machine.",execution,planning
makeCoffee,makeCoffee-7,ok,full,True,True,True,4,['00:50'],"['00:32', '00:33', '00:34', '00:35', '00:36', '00:37', '00:38', '00:39', '00:40', '00:41', '00:42', '00:43', '00:44', '00:45', '00:46', '00:47']","The plan cleaned the mug with water, but it never ensured the mug ended up filled with coffee. Since the final state shows the mug was still filled with water, the coffee-making step was incomplete or incorrect even though the mug was placed in the coffee machine and the machine was toggled.","The robot never executed the action to pour water from mug after cleaning it. As a result, the mug cannot be filled with coffee.",planning,execution
makeCoffee,makeCoffee-8,ok,full,True,True,False,10,['00:14'],"['00:17', '00:18', '00:19', '00:20', '00:21', '00:22', '00:23', '00:24', '00:25', '00:26', '00:27', '00:28', '00:29', '00:30']","The failure was caused by using a dirty mug for making coffee; the mug was already observed as **empty and dirty in the sink** and was still dirty when placed into the coffee machine. The **root cause first occurred at 00:14**, when the robot identified the dirty mug but proceeded with it instead of cleaning or replacing it.","The mug is dirty at the beginning of the task execution, and the robot never cleaned the mug.",execution,execution
makeCoffee,makeCoffee-9,ok,full,True,True,False,5,['00:23'],00:23,"Root cause: at 00:23, the robot picked up the bowl, which is the wrong object for the makeCoffee task. This wrong-object error first caused the failure, which only became visible at 00:50 when it tried to put the bowl into the coffee machine and still had it in the gripper.","The robot plan should not use a bowl instead of a mug or cup to make coffee. As a result, the bowl cannot be put inside the coffee machine.",execution,execution
makeSalad,makeSalad-1,ok,full,True,True,False,8,['02:04'],"['02:04', '02:05']","The failure at 02:05 happened because the robot tried to **slice the potato without holding the knife**; it had just placed the knife down at 02:04, so the slice action could not succeed.  

**Root cause time step: 02:04** — the robot incorrectly **put the knife on the first countertop** before attempting to slice the potato, leaving its gripper empty for the next action.",Wrong order - knife is put on countertop before slicing tomato,execution,execution
makeSalad,makeSalad-10,ok,full,True,True,False,0,['01:37'],['02:45'],"The failure was caused by the robot preparing the wrong ingredients for a salad: it picked up and sliced a potato, which does not belong in the target salad, instead of focusing on placing the salad ingredients into the bowl. The earliest root-cause step is **01:37**, when it **picked up the potato** and began the incorrect branch of the task.","Failed to successfully execute (pick_up, TomatoSliced)",execution,execution
makeSalad,makeSalad-2,ok,full,True,True,True,8,['02:31'],['02:31'],"The failure was caused by the robot choosing the wrong destination for the last salad ingredient: it placed the potato slice toward the pan/counter area instead of into the bowl, so the salad was not completed correctly. The earliest root-cause step is 02:31, when the robot executed **“Put potato slice in pan”** instead of putting the potato slice in the bowl.",Wrong plan - potato slice is put in pan instead of the bowl,execution,execution
makeSalad,makeSalad-3,ok,full,True,True,False,3,['00:31'],"['00:46', '01:56', '02:20']","The failure was caused by incorrect placement actions: the robot repeatedly put ingredients on the countertop instead of into the bowl, so when it tried to assemble the salad, slices were still scattered outside the bowl and the final apple-slice placement also ended up on the countertop.  

**Root cause time step: 00:31** — this is the earliest wrong step, when the robot put the lettuce on the first countertop instead of in the bowl, establishing the incorrect pattern that led to the failed salad assembly.",Wrong plan - apple instead of tomato,execution,execution
makeSalad,makeSalad-4,ok,full,True,True,True,4,['02:38'],['03:08'],"The failure was caused by the robot losing track of the target container and grasping the **pan instead of the bowl**; at 03:08 this became visible when the action was “Pick up bowl” but the **pan** ended up in the gripper.  
**Root cause time step: 02:38**, when the robot unnecessarily **moved to the fridge/opened it** after already completing the salad in the bowl, introducing a task-state/object-localization error that led to the later wrong-object pickup.",Wrong perception: pan and bowl,execution,planning
makeSalad,makeSalad-5,ok,full,True,True,False,9,['01:37'],['02:42'],"Root cause: the robot first went off track at **01:37**, when it **picked up the potato**, an ingredient that does not belong in a salad. This led it to later **slice only the lettuce and tomato while leaving pieces on the countertop instead of reliably assembling them into the bowl**, so by 02:30 the lettuce slice was merely above the bowl rather than successfully placed inside.",Missing step - slice potato,execution,execution
makeSalad,makeSalad-6,ok,full,True,True,False,6,['00:31'],['180'],"The failure stems from the robot placing ingredients on the countertop instead of directly into the bowl, then only partially transferring them later, leaving salad pieces still detected both on the countertop and in the bowl so the final bowl pickup did not succeed. The earliest root-cause step is **00:31**, when it **put the lettuce on the first countertop instead of into the bowl**.","Failed to successfully execute (pick_up, Bowl)",execution,execution
makeSalad,makeSalad-7,ok,full,True,True,False,7,['01:19'],['187'],"The failure was caused by the robot selecting and preparing a potato for a salad, which is an incorrect ingredient for the makeSalad task. The root cause first occurred at 01:19, when the robot decided to move to the potato instead of continuing with appropriate salad ingredients or placing prepared items into the bowl.","Missing (pick_up, LettuceSliced), (put_in, LettuceSliced, Bowl)",execution,execution
makeSalad,makeSalad-8,ok,full,True,True,False,3,['00:38'],['01:19'],"The failure was caused earlier at **00:38**, when the robot left the bowl area after placing the lettuce **on the countertop instead of into the bowl**. That wrong placement meant the salad assembly was already off-track, and by 01:19 the robot was still mishandling ingredients near the bowl rather than successfully putting them into it.","Failed to successfully execute (put_on, Tomato, CounterTop)",execution,execution
makeSalad,makeSalad-9,ok,full,True,True,True,10,['01:37'],['03:22'],"The failure was caused by the robot preparing the wrong ingredients for a salad: it picked up and sliced a potato, which does not belong in the target salad, instead of focusing on placing the salad ingredients into the bowl. The earliest root-cause step is **01:37**, when it **picked up the potato** and began the incorrect branch of the task.",Dropped Bowl,execution,execution
storeEgg,storeEgg-1,ok,full,True,True,True,3,['01:39'],"['02:07', '02:21']","The plan never included picking up the bowl and placing the bowl-with-egg into the fridge. It only put the egg into the bowl on the dining table, then stored the pan in the fridge instead, so the goal condition was not met.",Wrong plan - robot puts pan instead of bowl in the fridge,planning,execution
storeEgg,storeEgg-10,ok,full,True,True,False,0,['00:15'],['00:35'],"Root cause: the robot never picked up or even located an egg before trying to place it on the countertop. The earliest wrong step is 00:15, when it opened the fridge and observed only lettuce but did not retrieve an egg, yet later proceeded as if it had one.","Missing (pick_up, Egg)",execution,execution
storeEgg,storeEgg-2,ok,full,True,True,False,0,['00:03'],['00:16'],"Root cause: the robot wasted time repeatedly issuing Move to fridge while already at the fridge and never began the storage sequence earlier. The earliest wrong step is 00:03, when it redundantly moved to the fridge again instead of progressing to opening the fridge and handling the egg.",lettuce is blocking the egg,execution,planning
storeEgg,storeEgg-3,ok,full,True,True,True,7,['01:42'],"['01:42', '02:23']","The plan put the egg into the pan and stored the pan in the fridge, but the goal required the egg to be in a bowl inside the fridge. The robot never picked up the bowl or placed the egg in it, so the bowl remained on the table and the goal condition was not met.",Wrong plan - robot puts egg in the pan instead of bowl,planning,execution
storeEgg,storeEgg-4,ok,full,True,True,True,3,['00:43'],['01:41'],"Root cause: the task went wrong at **00:43**, when the robot **put the egg on the first countertop instead of storing it in the fridge/container**. This earlier misplacement led to the later failed storage attempt, which finally became visible at **01:41** when the egg was dropped onto the dining table instead of into the bowl/container.",Ambiguous plan - says some container (maps to pan),execution,planning
storeEgg,storeEgg-5,ok,full,True,True,True,5,['00:43'],['01:41'],"The failure originated at **00:43**, when the robot **put the egg on the first countertop instead of storing it in the fridge**. This wrong placement created the later failure at 01:41: when the robot tried to “put egg in bowl,” it was already following an incorrect recovery path after having removed the egg from storage rather than completing the storeEgg task correctly.",Wrong execution - policy puts egg in pan instead of bowl,execution,planning
storeEgg,storeEgg-6,ok,full,True,True,True,7,['01:23–01:24'],['01:27'],"The failure happened because the robot tried to pick up the egg while it was already holding the potato, so it could not grasp the egg at 01:27. The root cause first appears at **01:23–01:24**, when the robot moved to the egg with an inconsistent internal state and failed to ensure its gripper was empty before attempting the pickup.",Wrong perception - potato detected as egg,execution,planning
storeEgg,storeEgg-7,ok,full,True,True,False,0,['00:01'],['00:15'],"The failure was caused by the robot never actually reaching or locating the egg before attempting the pickup; it kept issuing “Move to egg” while still only seeing a closed fridge and an empty gripper. The earliest root-cause step is **00:01**, because from that first move the robot was already not at the egg and made no progress, leading to the failed pickup at 00:15.",Missing step of open fridge before pick up the egg,execution,execution
storeEgg,storeEgg-8,ok,full,True,True,True,6,['00:43'],['02:11'],"Root cause occurred at **00:43**: the robot **put the egg on the first countertop instead of storing it in the fridge**. Because the egg was misplaced early, the later recovery attempt ended with the robot carrying it to the bowl/table area and dropping it on the dining table at 01:41 instead of completing the storage task.",Dropped Bowl,execution,execution
storeEgg,storeEgg-9,ok,full,True,True,False,0,['00:03'],['00:15'],"The failure was caused by the robot never successfully reaching or positioning at the fridge before attempting to open it; it kept issuing repeated “Move to fridge” actions without progress. The earliest point this went wrong is 00:03, when another “Move to fridge” occurred with no effective state change, indicating it was already stuck/not navigating correctly.","Failed to successfully execute (open_obj, Fridge)",execution,execution
switchDevices,switchDevices-1,ok,full,True,True,False,2,['00:19'],"['00:19', '01:07']","The plan pursued the wrong goals: it turned the laptop on instead of closing it, and it turned the television off instead of on. So even though the laptop ended up on the TV stand, the final state did not satisfy the required conditions.",Wrong Plan: TV switched off and laptop turned on,planning,execution
switchDevices,switchDevices-10,ok,full,True,True,True,2,['00:57'],['01:04'],"Root cause was at 00:57, when the robot started moving to the television instead of picking up the remote control it had already located at 00:52. Because it never acquired the remote and had an empty gripper at 01:04, the toggle-on action was attempted without the needed tool, so the television stayed off.","Missing (pick_up, RemoteControl)",execution,execution
switchDevices,switchDevices-2,ok,full,True,True,True,2,['00:44'],['00:55'],"The failure manifested at 00:55 when the TV did not turn on, but the root cause began at 00:44: the robot put the laptop on the TV stand and then approached the television empty-handed instead of acquiring the remote control or using the TV’s power button. Because it never obtained a valid way to operate the TV, the toggle-on action at 00:55 had no effect.",Wrong Order: of pick up remote control and toggle on television,execution,planning
switchDevices,switchDevices-3,ok,full,True,True,True,1,['00:47'],['00:47'],"The plan undid the main goal: after closing and placing the laptop, the robot opened it again at 00:47. So the final state had the laptop on the TV stand, but still open, which violated the success condition.",Wrong Plan: Opens the laptop again,planning,execution
switchDevices,switchDevices-4,ok,full,True,True,True,1,['00:01'],['01:39'],"The failure appears to stem from navigation/localization repeatedly going wrong before the toggle attempt: the robot spent multiple steps just “Move to floor lamp” without making meaningful progress, suggesting it had trouble properly approaching or aligning with the lamp. The earliest root-cause step is **00:01**, where this ineffective repeated movement behavior first began.",Wrong Plan: Floorlamp turned on instead of television,execution,execution
switchDevices,switchDevices-5,ok,full,True,True,True,2,['00:48'],['00:48'],"The plan put the closed laptop in the garbage can instead of on the TV stand, which violates the goal condition. Although the TV was turned on successfully, the laptop ended in the wrong location, so the task failed.",Wrong Plan: Laptop is put in garbage can instead of TV stand,planning,execution
switchDevices,switchDevices-6,ok,full,True,True,True,2,['00:19'],['00:51'],"The failure was caused by the robot handling the wrong device: at **00:19** it **closed the laptop**, and at **00:22** it escalated the mistake by **picking up the laptop** instead of operating the target device to switch. The failure became visible at 00:42 when it placed the laptop on the TV stand, but the **root cause first occurred at 00:19**.",Book is blocking remote control,execution,planning
switchDevices,switchDevices-7,ok,full,True,True,True,1,['00:41'],['00:41'],"The plan never included closing the laptop before placing it on the TV stand. So even though the laptop ended up on the TV stand and the TV was turned on, the laptop was still open, which failed the goal condition.",Miss step of close laptop,planning,execution
switchDevices,switchDevices-8,ok,full,True,True,True,2,['00:55'],['00:59'],"The failure was caused by the robot losing/dropping the remote after successfully picking it up, so when it tried to toggle the TV on, its gripper was empty and the TV stayed off. The earliest step where this went wrong is 01:00, because after 00:55 the remote was in the gripper, but at 01:00 the observation shows nothing in the gripper.",Dropped RemoteControl,execution,execution
switchDevices,switchDevices-9,ok,full,True,True,False,2,['00:22'],['00:40'],"The failure was caused by the robot choosing the wrong destination/object sequence: it picked up the laptop and carried it to the tv stand, even though the switchDevices task should have involved operating the TV/remote rather than relocating the laptop. The earliest root-cause step is **00:22**, when it **picked up the laptop**, committing to the wrong object and leading to the failed put-down at 00:40.","Failed to successfully execute (put_on, Laptop, TVStand)",execution,execution
toastBread,toastBread-1,ok,full,True,True,False,2,['00:29'],00:43,"The failure was caused by the robot trying to make toast starting from an unsliced loaf and only producing a loose bread slice on the countertop instead of getting bread into the toaster workflow. The earliest step where things went wrong was 00:29, when the robot moved to the bread with the knife and began slicing bread rather than proceeding with a ready-to-toast slice.",Dropped BreadSliced,execution,execution
toastBread,toastBread-10,ok,full,True,True,False,2,['00:29'],"['00:36', '00:37', '00:38', '00:39', '00:40', '00:41', '00:42']","The failure was caused by the robot trying to make toast starting from an unsliced loaf and only producing a loose bread slice on the countertop instead of getting bread into the toaster workflow. The earliest step where things went wrong was 00:29, when the robot moved to the bread with the knife and began slicing bread rather than proceeding with a ready-to-toast slice.",The robot forgot to pick up the bread slice from the countertop before moving to the toaster.,execution,execution
toastBread,toastBread-2,ok,full,True,True,False,10,['00:22'],00:23,"The failure was caused by the knife being obstructed by a pot, so the robot could not successfully grasp it at 00:23. The root cause first appears at 00:22, when the robot observed that the pot was blocking the knife but still proceeded toward picking it up without clearing the obstruction.",The robot cannot pick up knife due to the pot occluding the knife.,execution,planning
