model,qid,category,n_options,answer,predicted,max_prob,norm_entropy,confidence,correct,score_status,solvability,difficulty
qwen3.5:9b,920,law,10,H,J,0.6304714481450577,0.5687523401182559,0.43124765988174407,0,available,0,hard
qwen3.5:9b,921,law,10,F,I,0.6050189329749627,0.6317970442068123,0.36820295579318774,0,available,5,easy
qwen3.5:9b,935,law,10,D,D,0.5172430846076068,0.6527651069828942,0.34723489301710575,1,available,0,hard
qwen3.5:9b,955,law,10,A,E,0.6200090314006139,0.5515382951313021,0.44846170486869785,0,available,0,hard
qwen3.5:9b,958,law,10,J,J,0.9680186753382581,0.08046869258644555,0.9195313074135545,1,available,4,easy
qwen3.5:9b,960,law,9,G,C,0.43779756145689136,0.6950346660287342,0.3049653339712658,0,available,0,hard
qwen3.5:9b,961,law,9,A,E,0.571454455798512,0.5418658178070818,0.45813418219291824,0,available,2,medium
qwen3.5:9b,973,law,10,H,H,0.9158068035895365,0.1768140848037717,0.8231859151962283,1,available,0,hard
qwen3.5:9b,980,law,8,A,C,0.306651403019621,0.8144897550413314,0.18551024495866864,0,available,0,hard
qwen3.5:9b,994,law,10,H,J,0.7598088029010999,0.3685208670489172,0.6314791329510828,0,available,1,hard
qwen3.5:9b,1004,law,10,F,G,0.44955770926066363,0.556141656268631,0.443858343731369,0,available,0,hard
qwen3.5:9b,1011,law,9,E,F,0.9714707362523424,0.07591649885632032,0.9240835011436797,0,available,3,medium
qwen3.5:9b,1013,law,9,I,B,0.38359008437262543,0.6936054281403959,0.30639457185960406,0,available,0,hard
qwen3.5:9b,1016,law,10,H,H,0.9249667406092604,0.1346064373966978,0.8653935626033022,1,available,1,hard
qwen3.5:9b,1022,law,9,G,G,0.9429967241705811,0.14293882757537887,0.8570611724246211,1,available,3,medium
qwen3.5:9b,1023,law,9,D,D,0.42021986574309383,0.6324598189834394,0.3675401810165606,1,available,1,hard
qwen3.5:9b,1027,law,9,A,A,0.8280325680892902,0.2933388850562295,0.7066611149437705,1,available,2,medium
qwen3.5:9b,1029,law,9,G,C,0.7456557737838501,0.4514007348848765,0.5485992651151235,0,available,0,hard
qwen3.5:9b,1034,law,5,D,D,0.7206148138861536,0.5541696358061833,0.4458303641938167,1,available,3,medium
qwen3.5:9b,1035,law,10,A,A,0.8083775204655417,0.34405993268760077,0.6559400673123992,1,available,4,easy
qwen3.5:9b,1053,law,10,B,B,0.8874931869736948,0.2437122353925847,0.7562877646074153,1,available,4,easy
qwen3.5:9b,1058,law,10,I,I,0.4925265300897994,0.5299800443203672,0.47001995567963284,1,available,3,medium
qwen3.5:9b,1074,law,10,J,J,0.36309986285310253,0.6868900854179194,0.3131099145820806,1,available,0,hard
qwen3.5:9b,1075,law,10,E,E,0.7514472961417179,0.4502495223474745,0.5497504776525255,1,available,4,easy
qwen3.5:9b,1080,law,9,B,B,0.3718824735904643,0.8106831226497431,0.18931687735025693,1,available,2,medium
qwen3.5:9b,1084,law,10,J,D,0.8424054168693372,0.3023636043791846,0.6976363956208154,0,available,0,hard
qwen3.5:9b,1087,law,9,C,E,0.958277225985935,0.10906780106213491,0.8909321989378651,0,available,0,hard
qwen3.5:9b,1089,law,9,D,D,0.7135146717309878,0.379024122988058,0.620975877011942,1,available,0,hard
qwen3.5:9b,1099,law,10,I,I,0.3554304757894052,0.8002993717720956,0.19970062822790435,1,available,0,hard
qwen3.5:9b,1102,law,9,H,C,0.42349862673441524,0.6247263506159937,0.3752736493840063,0,available,0,hard
qwen3.5:9b,1131,law,4,C,C,0.9917941680928344,0.040771883937691135,0.9592281160623088,1,available,2,medium
qwen3.5:9b,1136,law,10,H,H,0.47947961581164766,0.5782204201999676,0.42177957980003244,1,available,1,hard
qwen3.5:9b,1139,law,10,I,C,0.7770226267945258,0.34734129249029355,0.6526587075097064,0,available,0,hard
qwen3.5:9b,1168,law,10,H,D,0.7397432149111294,0.4711184700536067,0.5288815299463934,0,available,0,hard
qwen3.5:9b,1171,law,10,C,C,0.990143070184463,0.03148489991822332,0.9685151000817767,1,available,2,medium
qwen3.5:9b,1175,law,9,D,D,0.5829681507494515,0.6594563055817512,0.34054369441824883,1,available,0,hard
qwen3.5:9b,1176,law,9,C,I,0.535489655050547,0.6775977395268911,0.32240226047310894,0,available,0,hard
qwen3.5:9b,1189,law,10,E,D,0.48868433722125615,0.5118608294534579,0.4881391705465421,0,available,0,hard
qwen3.5:9b,1191,law,10,J,H,0.9340671335037818,0.12979491610060792,0.8702050838993921,0,available,0,hard
qwen3.5:9b,1192,law,7,A,A,0.9915025371933962,0.03243630624761629,0.9675636937523837,1,available,3,medium
qwen3.5:9b,1196,law,9,F,I,0.6918949229489647,0.49964495381844654,0.5003550461815535,0,available,0,hard
qwen3.5:9b,1202,law,4,C,C,0.7408988505584361,0.530771875118051,0.469228124881949,1,available,1,hard
qwen3.5:9b,1213,law,8,E,E,0.8305501772305123,0.32774758352767513,0.6722524164723249,1,available,3,medium
qwen3.5:9b,1218,law,10,E,F,0.6776625312884478,0.4634616418948035,0.5365383581051966,0,available,1,hard
qwen3.5:9b,1222,law,10,H,G,0.6064445155085625,0.37470175273987816,0.6252982472601218,0,available,0,hard
qwen3.5:9b,1225,law,4,B,B,0.8384143670333001,0.40756218413821876,0.5924378158617812,1,available,5,easy
qwen3.5:9b,1236,law,9,C,C,0.7506299249737822,0.45887320889989497,0.541126791100105,1,available,2,medium
qwen3.5:9b,1238,law,10,J,E,0.35214290037095003,0.6764514841812769,0.3235485158187231,0,available,1,hard
qwen3.5:9b,1256,law,9,E,E,0.7247334840594521,0.3537181031186966,0.6462818968813033,1,available,3,medium
qwen3.5:9b,1262,law,10,H,H,0.9944887811581069,0.017000939865873782,0.9829990601341262,1,available,2,medium
qwen3.5:9b,1264,law,10,F,I,0.5334663321232237,0.7046804457416971,0.2953195542583029,0,available,0,hard
qwen3.5:9b,1269,law,10,G,F,0.8476024578402734,0.23206938996065743,0.7679306100393426,0,available,0,hard
qwen3.5:9b,1270,law,5,B,D,0.552996479878378,0.6670422686099008,0.3329577313900992,0,available,4,easy
qwen3.5:9b,1286,law,4,C,C,0.9570672064188335,0.15705419616237426,0.8429458038376257,1,available,5,easy
qwen3.5:9b,1289,law,4,C,C,0.9979433201216543,0.011321274290975767,0.9886787257090243,1,available,5,easy
qwen3.5:9b,1291,law,10,E,E,0.6470132693456673,0.5469623646184518,0.4530376353815482,1,available,0,hard
qwen3.5:9b,1293,law,6,E,F,0.46990915826091356,0.8384471479069958,0.16155285209300418,0,available,0,hard
qwen3.5:9b,1297,law,4,B,C,0.9909609283695504,0.044230874509243914,0.9557691254907561,0,available,0,hard
qwen3.5:9b,1309,law,10,E,E,0.7968936854180579,0.3557908956614484,0.6442091043385516,1,available,3,medium
qwen3.5:9b,1324,law,10,B,D,0.47947192806520345,0.6953140024523742,0.3046859975476258,0,available,3,medium
qwen3.5:9b,1326,law,10,J,J,0.8703965445184441,0.18233358454296475,0.8176664154570352,1,available,3,medium
qwen3.5:9b,1330,law,9,H,F,0.3095169672757176,0.8797090410845535,0.1202909589154465,0,available,0,hard
qwen3.5:9b,1333,law,10,A,C,0.773529038112185,0.36570830885602584,0.6342916911439742,0,available,2,medium
qwen3.5:9b,1341,law,9,G,A,0.3522424459478206,0.661338865050126,0.33866113494987404,0,available,0,hard
qwen3.5:9b,1357,law,10,I,I,0.9900324284768728,0.032745555191058505,0.9672544448089415,1,available,0,hard
qwen3.5:9b,1366,law,10,J,C,0.45694359656342703,0.5171943785038832,0.48280562149611683,0,available,0,hard
qwen3.5:9b,1373,law,10,C,C,0.49338932000774305,0.35738763084897146,0.6426123691510286,1,available,2,medium
qwen3.5:9b,1376,law,10,I,I,0.9978589792906614,0.008657641036130986,0.991342358963869,1,available,4,easy
qwen3.5:9b,1382,law,4,A,B,0.6545022117428151,0.5761969102637786,0.4238030897362214,0,available,5,easy
qwen3.5:9b,1386,law,10,I,G,0.54825789681871,0.52508601745597,0.47491398254402994,0,available,0,hard
qwen3.5:9b,1389,law,10,F,B,0.7038101761150454,0.4624341907597541,0.5375658092402459,0,available,1,hard
qwen3.5:9b,1395,law,10,B,F,0.7814340090621328,0.3857495181512193,0.6142504818487807,0,available,4,easy
qwen3.5:9b,1404,law,10,I,E,0.5332277802536575,0.5803150671712103,0.4196849328287897,0,available,0,hard
qwen3.5:9b,1406,law,10,B,H,0.5519860857514178,0.5722662622771701,0.42773373772282985,0,available,0,hard
qwen3.5:9b,1416,law,10,I,E,0.6511236471909487,0.5243142190430314,0.47568578095696856,0,available,0,hard
qwen3.5:9b,1433,law,10,D,D,0.4475484869015657,0.5679166536223959,0.43208334637760415,1,available,1,hard
qwen3.5:9b,1452,law,10,D,D,0.7811155448540696,0.3898377697326987,0.6101622302673013,1,available,4,easy
qwen3.5:9b,1461,law,9,D,D,0.5149281005056489,0.45202495589954855,0.5479750441004514,1,available,1,hard
qwen3.5:9b,1481,law,9,D,D,0.9840390183072792,0.051389935975472915,0.9486100640245271,1,available,2,medium
qwen3.5:9b,1494,law,8,A,A,0.9709534604658229,0.08549625589083489,0.9145037441091651,1,available,4,easy
qwen3.5:9b,1498,law,10,G,J,0.8295416872521132,0.2931529014892099,0.7068470985107901,0,available,3,medium
qwen3.5:9b,1506,law,10,H,H,0.27067214804923057,0.8498598641769096,0.15014013582309038,1,available,2,medium
qwen3.5:9b,1509,law,7,F,F,0.9641485439476134,0.10705578438513892,0.892944215614861,1,available,3,medium
qwen3.5:9b,1515,law,10,I,A,0.7070421091317471,0.5077346234219546,0.49226537657804537,0,available,0,hard
qwen3.5:9b,1524,law,10,F,B,0.5615233023527701,0.4603324673241907,0.5396675326758094,0,available,0,hard
qwen3.5:9b,1526,law,10,I,E,0.5829807642681705,0.4940251002146116,0.5059748997853883,0,available,0,hard
qwen3.5:9b,1532,law,7,A,F,0.9828688408663461,0.05936904175219744,0.9406309582478025,0,available,0,hard
qwen3.5:9b,1544,law,10,I,I,0.38180297691070264,0.7566857972427214,0.24331420275727855,1,available,0,hard
qwen3.5:9b,1550,law,10,G,I,0.645740258726154,0.5441041472911721,0.45589585270882793,0,available,0,hard
qwen3.5:9b,1553,law,9,B,B,0.5121841663607329,0.5293345188325438,0.4706654811674562,1,available,0,hard
qwen3.5:9b,1554,law,8,G,G,0.5861747250682379,0.5121842071945947,0.4878157928054053,1,available,1,hard
qwen3.5:9b,1566,law,9,E,D,0.5826378640769682,0.6280822737354694,0.37191772626453057,0,available,0,hard
qwen3.5:9b,1569,law,9,A,C,0.3542527064442197,0.6833711213047464,0.3166288786952536,0,available,0,hard
qwen3.5:9b,1635,law,9,C,E,0.8255297375170428,0.36409512594383237,0.6359048740561677,0,available,2,medium
qwen3.5:9b,1647,law,10,A,F,0.8939166958500312,0.23871717175745238,0.7612828282425477,0,available,0,hard
qwen3.5:9b,1656,law,9,G,E,0.28986371030835784,0.8725772146505719,0.12742278534942808,0,available,0,hard
qwen3.5:9b,1675,law,10,G,B,0.5515098528741883,0.5713808200599865,0.42861917994001353,0,available,1,hard
qwen3.5:9b,1678,law,10,C,C,0.6886960015336345,0.49941010115213036,0.5005898988478696,1,available,1,hard
qwen3.5:9b,1683,law,10,G,G,0.5225074175997566,0.42559251580476115,0.5744074841952389,1,available,0,hard
qwen3.5:9b,1704,law,10,G,G,0.8046883963987641,0.3727918893996488,0.6272081106003512,1,available,1,hard
qwen3.5:9b,1708,law,10,G,G,0.41917732507544764,0.6885246893374661,0.31147531066253387,1,available,0,hard
qwen3.5:9b,1713,law,10,H,H,0.9478011502707118,0.1298690437118866,0.8701309562881134,1,available,0,hard
qwen3.5:9b,1714,law,10,B,H,0.7888168794035106,0.3191801378925044,0.6808198621074957,0,available,0,hard
qwen3.5:9b,1716,law,8,B,G,0.6043785956720943,0.6002337382287827,0.3997662617712173,0,available,2,medium
qwen3.5:9b,1721,law,10,A,D,0.19886736335772434,0.9408593613633242,0.059140638636675846,0,available,1,hard
qwen3.5:9b,1746,law,8,C,B,0.5806887970493531,0.5136023633593787,0.4863976366406213,0,available,1,hard
qwen3.5:9b,1748,law,10,D,J,0.8890844496787211,0.17597944251560838,0.8240205574843916,0,available,3,medium
qwen3.5:9b,1763,law,4,D,C,0.6102945699207861,0.5012941050068278,0.4987058949931722,0,available,3,medium
qwen3.5:9b,1771,law,10,G,I,0.791466610486907,0.27664221744503675,0.7233577825549633,0,available,1,hard
qwen3.5:9b,1772,law,10,J,E,0.46768981925649683,0.5464722877611576,0.45352771223884236,0,available,0,hard
qwen3.5:9b,1778,law,10,J,D,0.24611334066653812,0.8537491241902871,0.14625087580971285,0,available,0,hard
qwen3.5:9b,1781,law,9,I,E,0.8831883361761428,0.25989228363698746,0.7401077163630125,0,available,1,hard
qwen3.5:9b,1788,law,10,J,C,0.6823316215259344,0.3555453093402233,0.6444546906597767,0,available,0,hard
qwen3.5:9b,1822,law,9,F,F,0.9819681198702618,0.05719062941040635,0.9428093705895937,1,available,1,hard
qwen3.5:9b,1833,law,10,D,A,0.3504526673190376,0.6022231763769357,0.3977768236230643,0,available,2,medium
qwen3.5:9b,1835,law,10,B,C,0.7122634461233078,0.43933681541480457,0.5606631845851955,0,available,3,medium
qwen3.5:9b,1850,law,10,E,J,0.7100276092703215,0.3564679979982289,0.6435320020017711,0,available,2,medium
qwen3.5:9b,1853,law,10,J,C,0.32059792209075944,0.7812512047196546,0.2187487952803454,0,available,0,hard
qwen3.5:9b,1855,law,10,H,D,0.6040005364125985,0.539851830763337,0.460148169236663,0,available,0,hard
qwen3.5:9b,1866,law,10,G,G,0.4984453688118537,0.5028688752805911,0.4971311247194089,1,available,0,hard
qwen3.5:9b,1868,law,10,C,C,0.9209099305893844,0.17389368599135532,0.8261063140086446,1,available,0,hard
qwen3.5:9b,1877,law,8,H,D,0.5833372176431555,0.6331025296223693,0.36689747037763065,0,available,0,hard
qwen3.5:9b,1882,law,8,E,E,0.891896399912726,0.20236048369022394,0.797639516309776,1,available,3,medium
qwen3.5:9b,1903,law,6,A,A,0.5871208951391568,0.703448264384053,0.29655173561594705,1,available,2,medium
qwen3.5:9b,1916,law,9,F,B,0.8419597465428931,0.3345381661218385,0.6654618338781615,0,available,2,medium
qwen3.5:9b,1919,law,10,I,E,0.6882147209459935,0.33263713297262915,0.6673628670273708,0,available,1,hard
qwen3.5:9b,1931,law,10,C,E,0.25109500287420095,0.8005443030455742,0.19945569695442578,0,available,0,hard
qwen3.5:9b,1948,law,8,D,D,0.9336217861123364,0.15119173072538636,0.8488082692746136,1,available,4,easy
qwen3.5:9b,1950,law,10,I,I,0.22764047912136692,0.8914869692664107,0.10851303073358931,1,available,0,hard
qwen3.5:9b,1978,law,9,D,D,0.9812076323958497,0.057109894483057054,0.942890105516943,1,available,1,hard
qwen3.5:9b,1986,psychology,8,E,D,0.7407901952673258,0.41536908602734507,0.5846309139726549,0,available,0,hard
qwen3.5:9b,1988,psychology,10,E,G,0.866856748545415,0.2108702670859835,0.7891297329140166,0,available,0,hard
qwen3.5:9b,1994,psychology,10,F,F,0.9687770608394007,0.07649403174596353,0.9235059682540365,1,available,5,easy
qwen3.5:9b,2003,psychology,10,C,C,0.6313304316911864,0.4948908197766611,0.505109180223339,1,available,4,easy
qwen3.5:9b,2008,psychology,10,A,A,0.9992414563341513,0.0034098761229645605,0.9965901238770355,1,available,5,easy
