episode,timestamp_sec,action,scene_graph_text
appleInFridge2,231,Put bowl in fridge,"fridge-1 (with door open), fridge-2 (with door closed). fridge-2 is inside fridge-1. nothing is inside robot gripper."
appleInFridge2,253,Put bowl in fridge,"fridge-1 (with door open), fridge-2 (with door closed). fridge-2 is inside fridge-1. nothing is inside robot gripper."
appleInFridge2,312,Close fridge,"fridge-1 (with door open), fridge-2 (with door closed). fridge-1 is on top of fridge-2. nothing is inside robot gripper."
appleInFridge3,27,Pick up apple,"table, apple. apple is on top of table. apple is inside robot gripper."
appleInFridge3,54,Put apple in bowl,"apple, table. apple is on top of table. nothing is inside robot gripper."
appleInFridge3,87,Pick up bowl,"apple, dark blue bowl. apple is on top of dark blue bowl. apple is inside robot gripper."
appleInFridge3,161,Put bowl in fridge,"black fridge (with door open), table. nothing is inside robot gripper."
appleInFridge3,230,Open fridge,table. nothing is inside robot gripper.
appleInFridge3,288,Close fridge,"black fridge-1 (with door open), black fridge-2 (with door closed), table. black fridge-2 is inside black fridge-1. black fridge-1 is on top of table. black fridge-2 is on top of table. nothing is inside robot gripper."
appleInFridge4,27,Pick up apple,"dark blue bowl, apple-1, apple-2. apple-1 is on top of dark blue bowl. apple-2 is near dark blue bowl. apple-1 is inside apple-2. dark blue bowl is inside robot gripper."
appleInFridge4,48,Put apple in bowl,"black fridge (with door closed), table. nothing is inside robot gripper."
appleInFridge4,118,Open fridge,"apple-1, dark blue bowl, apple-2. apple-1 is inside dark blue bowl. apple-1 is inside apple-2. apple-2 is inside dark blue bowl. dark blue bowl is inside robot gripper."
appleInFridge4,159,Pick up bowl,"apple-1, table, apple-2, dark blue bowl. apple-1 is on top of table. apple-1 is inside apple-2. apple-2 is on top of table. apple-1 is on top of dark blue bowl. dark blue bowl is on top of table. apple-2 is near dark blue bowl. nothing is inside robot gripper."
appleInFridge4,227,Put bowl in fridge,"apple, black fridge (with door closed), table. apple is on top of table. nothing is inside robot gripper."
boilWater1,20,Pick up pot,"faucet-1 (toggled on), stove burner-1, dark blue bowl, stove burner-2, faucet-2 (toggled on), pot (empty), stove burner-3. stove burner-1 is inside faucet-1. dark blue bowl is inside faucet-1. dark blue bowl is on top of stove burner-1. stove burner-1 is inside dark blue bowl. stove burner-2 is inside faucet-1. faucet-1 is on top of stove burner-2. stove burner-1 is on top of stove burner-2. dark blue bowl is on top of stove burner-2. faucet-2 is inside faucet-1. faucet-2 is on the right of stove burner-1. faucet-2 is on the right of dark blue bowl. faucet-2 is on top of stove burner-2. pot is inside faucet-1. pot is on the right of stove burner-1. pot is on the right of dark blue bowl. pot is on top of stove burner-2. stove burner-3 is on top of faucet-1. faucet-1 is on the right of stove burner-3. stove burner-3 is on top of stove burner-1. stove burner-1 is on top of stove burner-3. stove burner-3 is on top of dark blue bowl. dark blue bowl is on top of stove burner-3. stove burner-3 is on top of stove burner-2. dark blue bowl is inside robot gripper. pot is inside robot gripper."
boilWater1,49,Put pot in sink,"stove burner, pot (empty), sink. pot is on top of stove burner. pot is inside sink. nothing is inside robot gripper."
boilWater1,74,Toggle on faucet,"stove burner, sink. nothing is inside robot gripper."
boilWater1,98,Toggle off faucet,"faucet (toggled off), stove burner, sink. nothing is inside robot gripper."
boilWater1,118,Pick up bowl,"stove burner, pot-1 (empty), pot-2 (empty), sink. pot-2 is inside pot-1. pot-2 is inside sink. nothing is inside robot gripper."
boilWater1,142,Put bowl on stove burner,"faucet (toggled off), sink. nothing is inside robot gripper."
boilWater1,191,Toggle on stove burner,"faucet (toggled off), sink. nothing is inside robot gripper."
boilWater2,25,Pick up pot,"pot (empty), stove burner-1, stove burner-2, stove burner-3, stove burner-4, sink. pot is on the right of stove burner-1. pot is on the right of stove burner-2. stove burner-2 is on the left of stove burner-1. stove burner-1 is on top of stove burner-2. pot is on top of stove burner-3. stove burner-1 is on top of stove burner-3. stove burner-2 is on top of stove burner-3. stove burner-4 is on top of stove burner-1. stove burner-1 is on top of stove burner-4. stove burner-4 is on top of stove burner-2. stove burner-2 is on top of stove burner-4. stove burner-4 is on top of stove burner-3. pot is inside sink. stove burner-1 is inside sink. stove burner-2 is inside sink. stove burner-3 is inside sink. stove burner-4 is inside sink. nothing is inside robot gripper."
boilWater2,60,Put pot in sink,"stove burner, sink. nothing is inside robot gripper."
boilWater2,101,Pick up pot,"faucet (toggled off), stove burner-1, stove burner-2, stove burner-3, stove burner-4, sink. stove burner-2 is on top of stove burner-1. stove burner-3 is on top of stove burner-1. stove burner-3 is on top of stove burner-2. stove burner-2 is on top of stove burner-3. stove burner-4 is on top of stove burner-1. stove burner-4 is on top of stove burner-2. stove burner-4 is on top of stove burner-3. stove burner-1 is inside sink. stove burner-2 is inside sink. stove burner-3 is inside sink. stove burner-4 is inside sink. nothing is inside robot gripper."
boilWater2,126,Put pot on stove burner,"stove burner, sink. nothing is inside robot gripper."
boilWater2,158,Toggle on stove burner,"faucet (toggled off), sink. nothing is inside robot gripper."
boilWater3,17,Pick up pot,"faucet (toggled off), sink. nothing is inside robot gripper."
boilWater3,39,Put pot in sink,"faucet (toggled on), red kettle, pot (empty), stove burner. red kettle is on top of faucet. pot is inside faucet. red kettle is inside pot. red kettle is on top of stove burner. pot is on top of stove burner. nothing is inside robot gripper."
boilWater3,50,Put pot in sink,"pot (empty), faucet (toggled off), stove burner-1, sink, stove burner-2. pot is on the right of stove burner-1. pot is inside sink. stove burner-1 is inside sink. pot is on top of stove burner-2. stove burner-1 is on top of stove burner-2. stove burner-2 is inside sink. nothing is inside robot gripper."
boilWater3,72,Toggle on faucet,"pot (empty), faucet (toggled off), stove burner-1, sink, stove burner-2. pot is on the right of stove burner-1. pot is inside sink. stove burner-1 is inside sink. pot is on top of stove burner-2. stove burner-1 is on top of stove burner-2. stove burner-2 is inside sink. nothing is inside robot gripper."
boilWater3,94,Toggle off faucet,"stove burner-1, faucet (toggled off), sink, stove burner-2. stove burner-1 is inside sink. stove burner-1 is on top of stove burner-2. stove burner-2 is inside sink. nothing is inside robot gripper."
boilWater3,119,Pick up pot,"pot (empty), faucet (toggled off), stove burner. pot is on top of stove burner. nothing is inside robot gripper."
boilWater3,144,Pick up pot,"pot-1 (filled with water), faucet-1 (toggled off), faucet-2 (toggled off), pot-2 (empty). faucet-1 is inside pot-1. pot-1 is inside faucet-1. pot-1 is on the right of faucet-2. faucet-1 is on the right of faucet-2. pot-1 is inside pot-2. faucet-1 is inside pot-2. faucet-2 is inside pot-2. nothing is inside robot gripper."
boilWater3,188,Put pot on stove burner,"faucet (toggled off), stove burner-1, sink, stove burner-2. stove burner-1 is inside sink. stove burner-1 is on top of stove burner-2. stove burner-2 is inside sink. nothing is inside robot gripper."
boilWater3,231,Toggle on stove burner,"pan, stove burner-1, sink, stove burner-2. pan is on the right of stove burner-1. pan is inside sink. stove burner-1 is inside sink. pan is on top of stove burner-2. stove burner-1 is on top of stove burner-2. stove burner-2 is inside sink. nothing is inside robot gripper."
boilWater3,236,Toggle on stove burner,"stove burner-1, faucet (toggled off), sink, stove burner-2. stove burner-1 is inside sink. stove burner-1 is on top of stove burner-2. stove burner-2 is inside sink. nothing is inside robot gripper."
boilWater4,26,Pick up pot,"pot (empty), stove burner-1, faucet (toggled off), stove burner-2, stove burner-3, sink. pot is on the right of stove burner-1. pot is inside faucet. pot is on top of stove burner-2. stove burner-1 is on top of stove burner-2. stove burner-3 is on top of stove burner-1. stove burner-3 is on top of stove burner-2. pot is inside sink. stove burner-1 is inside sink. stove burner-2 is inside sink. stove burner-3 is inside sink. nothing is inside robot gripper."
boilWater4,51,Put pot in sink,"stove burner-1, pot (empty), faucet (toggled off), stove burner-2, stove burner-3, stove burner-4, sink. pot is on top of stove burner-1. stove burner-1 is inside pot. stove burner-2 is on top of stove burner-1. stove burner-2 is inside pot. stove burner-3 is on top of stove burner-1. stove burner-3 is inside pot. stove burner-3 is on top of stove burner-2. stove burner-2 is on the left of stove burner-3. stove burner-4 is on top of stove burner-1. stove burner-4 is inside pot. stove burner-4 is on top of faucet. stove burner-4 is on top of stove burner-2. stove burner-2 is below stove burner-4. stove burner-4 is on top of stove burner-3. stove burner-1 is inside sink. pot is inside sink. stove burner-2 is inside sink. stove burner-3 is inside sink. stove burner-4 is inside sink. nothing is inside robot gripper."
boilWater4,61,Put pot in sink,"stove burner, sink. nothing is inside robot gripper."
boilWater4,89,Toggle on faucet,"faucet (toggled off), pot (empty), stove burner, sink. pot is on top of stove burner. pot is inside sink. nothing is inside robot gripper."
boilWater4,108,Toggle off faucet,"faucet (toggled off), stove burner, sink. nothing is inside robot gripper."
boilWater4,151,Pick up pot,stove burner. nothing is inside robot gripper.
boilWater4,163,Put pot on stove burner,"stove burner-1, stove burner-2, pot (empty). stove burner-1 is on top of stove burner-2. pot is on top of stove burner-2. nothing is inside robot gripper."
boilWater4,180,Put pot on stove burner,"stove burner, sink. nothing is inside robot gripper."
boilWater4,221,Toggle on stove burner,"faucet (toggled off), stove burner, sink. nothing is inside robot gripper."
cutCarrot1,35,Pick up knife,"knife, orange carrot (a sliced carrot). orange carrot is on top of knife. nothing is inside robot gripper."
cutCarrot1,73,Slice carrot,"knife, orange carrot (a sliced carrot). knife is on top of orange carrot. orange carrot is inside robot gripper."
cutCarrot2,37,Pick up knife,"knife-1, knife-2, orange carrot (a sliced carrot). knife-2 is on the left of knife-1. knife-1 is inside knife-2. knife-1 is on the right of orange carrot. knife-2 is on top of orange carrot. nothing is inside robot gripper."
cutCarrot2,71,Slice carrot,"orange carrot (a sliced carrot), knife. knife is on the right of orange carrot. nothing is inside robot gripper."
cutCarrot2,83,Slice carrot,"orange carrot (a sliced carrot), knife. knife is on top of orange carrot. orange carrot is inside robot gripper."
heatPot1,23,Pick up pot,"gray pot, stove burner. gray pot is on top of stove burner. nothing is inside robot gripper."
heatPot1,46,Put pot on stove burner,"stove burner, gray pot-1, gray pot-2. gray pot-1 is on top of stove burner. gray pot-2 is on top of stove burner. gray pot-2 is on top of gray pot-1. nothing is inside robot gripper."
heatPot1,103,Toggle on stove burner,"stove burner, gray pot. gray pot is on top of stove burner. nothing is inside robot gripper."
heatPot2,27,Pick up pot,"stove burner, gray pot. gray pot is on top of stove burner. gray pot is inside robot gripper."
heatPot2,55,Put pot on stove burner,"sink, gray pot-1, gray pot-2. gray pot-2 is on top of gray pot-1. gray pot-1 is below gray pot-2. nothing is inside robot gripper."
heatPot2,91,Toggle on stove burner,"sink, gray pot-1, gray pot-2. gray pot-2 is on top of gray pot-1. nothing is inside robot gripper."
heatPotato1,31,Pick up potato,"dark blue bowl, microwave (with door closed and toggled on), potato. dark blue bowl is inside microwave. dark blue bowl is inside potato. potato is inside microwave. nothing is inside robot gripper."
heatPotato1,55,Put potato in bowl,"microwave (with door open), potato, table-1, table-2. potato is inside microwave. table-1 is inside microwave. table-1 is inside potato. potato is on top of table-1. table-2 is inside microwave. potato is on top of table-2. table-1 is on top of table-2. nothing is inside robot gripper."
heatPotato1,138,Open microwave,"microwave (with door open), table, potato. potato is inside microwave. potato is on top of table. nothing is inside robot gripper."
heatPotato1,190,Pick up bowl,"microwave (with door closed and toggled on), potato, table. potato is inside microwave. potato is on top of table. nothing is inside robot gripper."
heatPotato1,264,Put bowl in microwave,"microwave (with door open), table. nothing is inside robot gripper."
heatPotato1,312,Toggle on microwave,"microwave (with door open), table. nothing is inside robot gripper."
heatPotato1,374,Close microwave,"microwave (with door open), table. nothing is inside robot gripper."
heatPotato1,407,Toggle off microwave,"microwave (with door open), table. nothing is inside robot gripper."
heatPotato1,480,Open microwave,microwave (with door open). nothing is inside robot gripper.
heatPotato1,568,Pick up bowl,"table-1, potato, microwave (with door open), table-2. table-1 is inside potato. table-1 is inside microwave. potato is inside microwave. table-1 is on top of table-2. table-2 is inside potato. table-2 is inside microwave. nothing is inside robot gripper."
heatPotato1,590,Put bowl on table,"table, dark blue bowl, microwave (with door open), potato-1, potato-2. dark blue bowl is on top of table. dark blue bowl is inside microwave. potato-1 is on top of table. potato-1 is inside dark blue bowl. dark blue bowl is on top of potato-1. potato-1 is inside microwave. potato-2 is on top of table. potato-2 is inside dark blue bowl. dark blue bowl is inside potato-2. potato-2 is inside microwave. potato-1 is inside potato-2. dark blue bowl is inside robot gripper."
heatPotato1,658,Close microwave,"microwave (with door open), dark blue bowl, table, potato-1, potato-2. dark blue bowl is inside microwave. dark blue bowl is on top of table. potato-1 is inside microwave. potato-1 is inside dark blue bowl. dark blue bowl is on top of potato-1. potato-1 is on top of table. potato-2 is inside microwave. potato-2 is inside dark blue bowl. dark blue bowl is inside potato-2. potato-2 is on top of table. potato-2 is on top of potato-1. potato-1 is inside potato-2. dark blue bowl is inside robot gripper."
heatPotato2,38,Pick up potato,"microwave (with door closed and toggled off), dark blue bowl, table. dark blue bowl is inside microwave. nothing is inside robot gripper."
heatPotato2,63,Put potato in bowl,"microwave (with door open), table-1, potato-1, potato-2, table-2. table-1 is inside microwave. potato-1 is inside microwave. table-1 is inside potato-1. potato-2 is inside microwave. potato-2 is on top of potato-1. table-2 is inside microwave. table-1 is on top of table-2. potato-1 is on top of table-2. potato-2 is on top of table-2. nothing is inside robot gripper."
heatPotato2,103,Toggle on microwave,"microwave (with door open), table-1, potato-1, potato-2, table-2. table-1 is inside microwave. potato-1 is inside microwave. table-1 is inside potato-1. potato-2 is inside microwave. potato-2 is on top of table-1. table-1 is inside potato-2. potato-2 is on top of potato-1. table-2 is inside microwave. table-1 is on top of table-2. potato-1 is on top of table-2. potato-2 is on top of table-2. nothing is inside robot gripper."
heatPotato2,122,Open microwave,"dark blue bowl, microwave (with door open), table-1, potato-1, potato-2, table-2. dark blue bowl is inside microwave. table-1 is inside dark blue bowl. table-1 is inside microwave. potato-1 is inside microwave. table-1 is inside potato-1. potato-2 is inside dark blue bowl. potato-2 is inside microwave. potato-2 is inside potato-1. table-2 is on the right of dark blue bowl. dark blue bowl is on top of table-2. table-2 is inside microwave. table-1 is on top of table-2. table-2 is on the right of potato-1. potato-1 is on top of table-2. potato-2 is on top of table-2. nothing is inside robot gripper."
heatPotato2,198,Open microwave,"microwave (with door open), potato-1, potato-2, table. potato-1 is inside microwave. potato-2 is inside microwave. potato-2 is on top of potato-1. potato-1 is on top of table. potato-2 is on top of table. nothing is inside robot gripper."
heatPotato2,230,Pick up bowl,"potato, microwave (with door open), table. potato is inside microwave. potato is on top of table. nothing is inside robot gripper."
heatPotato2,275,Put bowl in microwave,microwave (with door open). nothing is inside robot gripper.
heatPotato2,318,Put bowl in microwave,"microwave (with door open), potato. potato is inside robot gripper."
heatPotato2,374,Close microwave,microwave (with door open). nothing is inside robot gripper.
heatPotato2,466,Open microwave,microwave (with door open). nothing is inside robot gripper.
heatPotato2,554,Pick up bowl,"potato, microwave (with door open), table. potato is inside microwave. potato is on top of table. nothing is inside robot gripper."
heatPotato2,578,Put bowl on table,"table, microwave (with door open), dark blue bowl, potato-1, potato-2. dark blue bowl is on top of table. dark blue bowl is inside microwave. potato-1 is on top of table. potato-1 is inside microwave. potato-1 is inside dark blue bowl. dark blue bowl is on top of potato-1. potato-2 is on top of table. potato-2 is inside microwave. potato-2 is inside dark blue bowl. dark blue bowl is inside potato-2. potato-2 is on top of potato-1. potato-1 is inside potato-2. dark blue bowl is inside robot gripper."
makeCoffee1,30,Pick up cup,"coffee machine-1, coffee machine-2, table. coffee machine-2 is inside coffee machine-1. coffee machine-1 is on top of table. coffee machine-2 is on top of table. nothing is inside robot gripper."
makeCoffee1,74,Put cup in coffee machine,"cup-1, cup-2, table. cup-1 is on top of table. cup-2 is on top of table. nothing is inside robot gripper."
makeCoffee1,117,Toggle on coffee machine,"cup-1, coffee machine, cup-2, table. cup-1 is on top of table. cup-2 is on top of table. nothing is inside robot gripper."
makeCoffee1,155,Pick up cup,"coffee machine-1, coffee machine-2. coffee machine-2 is inside coffee machine-1. nothing is inside robot gripper."
makeCoffee1,180,Put cup on table,"coffee machine, cup, table. cup is on top of table. nothing is inside robot gripper."
makeCoffee2,31,Pick up cup,"cup, coffee machine-1, coffee machine-2. cup is inside coffee machine-2. coffee machine-1 is inside coffee machine-2. nothing is inside robot gripper."
makeCoffee2,71,Put cup in coffee machine,"cup, table. cup is on top of table. nothing is inside robot gripper."
makeCoffee2,143,Toggle on coffee machine,"coffee machine, table. nothing is inside robot gripper."
makeCoffee2,157,Toggle on coffee machine,table. nothing is inside robot gripper.
makeCoffee2,198,Pick up cup,"coffee machine, table. nothing is inside robot gripper."
makeCoffee2,218,Put cup on table,"cup-1, coffee machine, cup-2, table. cup-1 is inside coffee machine. cup-1 is on the right of cup-2. cup-2 is inside coffee machine. cup-1 is on top of table. cup-2 is on top of table. nothing is inside robot gripper."
makeCoffee3,87,Toggle on coffee machine,"blue cup-1, pink cup-1, pink cup-2, blue cup-2, table. pink cup-2 is inside blue cup-1. blue cup-1 is inside pink cup-2. blue cup-2 is inside pink cup-1. pink cup-1 is inside blue cup-2. blue cup-1 is on top of table. pink cup-1 is on top of table. pink cup-2 is on top of table. blue cup-2 is on top of table. nothing is inside robot gripper."
makeCoffee3,124,Pick up cup,"blue cup, coffee machine. blue cup is inside coffee machine. nothing is inside robot gripper."
makeCoffee3,147,Put cup on table,"blue cup-1, pink cup-1, pink cup-2, blue cup-2, table. blue cup-2 is inside pink cup-1. pink cup-1 is inside blue cup-2. blue cup-1 is on top of table. pink cup-1 is on top of table. pink cup-2 is on top of table. blue cup-2 is on top of table. nothing is inside robot gripper."
putAppleBowl1,42,Pick up apple,dark blue bowl. nothing is inside robot gripper.
putAppleBowl1,69,Put apple inside bowl,dark blue bowl. nothing is inside robot gripper.
putAppleBowl2,48,Pick up apple,"apple, dark blue bowl. apple is inside dark blue bowl. apple is inside robot gripper."
putAppleBowl2,63,Put apple inside bowl,dark blue bowl. apple is inside robot gripper.
putAppleBowl2,76,Put apple inside bowl,"apple, dark blue bowl. apple is on top of dark blue bowl. apple is inside robot gripper."
putAppleBowl3,31,Pick up apple,"knife, dark blue bowl, apple. dark blue bowl is inside knife. apple is inside knife. knife is inside apple. apple is near dark blue bowl. dark blue bowl is inside robot gripper."
putAppleBowl3,66,Put apple inside bowl,"apple, knife, dark blue bowl. knife is on the right of apple. apple is inside knife. apple is inside dark blue bowl. dark blue bowl is inside knife. knife is inside dark blue bowl. nothing is inside robot gripper."
putFruitsBowl1,39,Pick up strawberry,"white bowl, strawberry. white bowl is inside strawberry. nothing is inside robot gripper."
putFruitsBowl1,66,Put strawberry in bowl,"white bowl-1, carrot (not sliced), white bowl-2. white bowl-1 is inside white bowl-2. carrot is inside white bowl-2. nothing is inside robot gripper."
putFruitsBowl1,110,Pick up pear,"pear next to strawberry, pear, strawberry, white bowl. strawberry is inside pear next to strawberry. pear next to strawberry is inside strawberry. white bowl is inside pear next to strawberry. pear next to strawberry is inside white bowl. white bowl is inside strawberry. strawberry is inside white bowl. white bowl is inside robot gripper."
putFruitsBowl1,135,Put pear in bowl,"carrot (sliced), white bowl-1, white bowl-2, pear. white bowl-1 is on the right of carrot. carrot is inside white bowl-1. white bowl-2 is inside white bowl-1. white bowl-1 is on the right of white bowl-2. pear is inside white bowl-1. white bowl-1 is on the right of pear. pear is on top of white bowl-2. pear is inside robot gripper."
putFruitsBowl1,176,Pick up carrot,"pear, white bowl, strawberry. white bowl is on top of pear. pear is inside white bowl. pear is inside strawberry. white bowl is inside strawberry. white bowl is inside robot gripper."
putFruitsBowl1,195,Put carrot in bowl,"white bowl-1, white bowl-2. white bowl-1 is inside white bowl-2. nothing is inside robot gripper."
putFruitsBowl1,197,Put carrot in bowl,"pear, white bowl, carrot-1 (sliced), carrot-2 (sliced). white bowl is on top of pear. pear is inside white bowl. carrot-2 is inside pear. pear is inside carrot-2. carrot-2 is inside white bowl. white bowl is on top of carrot-2. pear is inside robot gripper. white bowl is inside robot gripper."
putFruitsBowl2,37,Pick up apple,"apple-1, apple-2. apple-1 is inside apple-2. nothing is inside robot gripper."
putFruitsBowl2,65,Put apple in bowl,"apple, carrot (not sliced). apple is inside robot gripper."
putFruitsBowl2,101,Pick up pear,"apple-1, bowl, apple-2, apple-3, carrot (sliced), pear. apple-1 is inside apple-2. apple-2 is on the left of bowl. apple-3 is inside bowl. apple-3 is on the right of apple-2. apple-1 is inside carrot. carrot is inside apple-2. apple-1 is inside pear. bowl is inside pear. apple-2 is inside pear. apple-3 is inside pear. carrot is inside pear. bowl is inside robot gripper."
putFruitsBowl2,115,Put pear in bowl,bowl is inside robot gripper.
putFruitsBowl2,121,Put pear in bowl,"carrot (sliced), bowl, apple. apple is inside bowl. bowl is inside robot gripper. apple is inside robot gripper."
putPearDrawer1,49,Pick up pear,"yellow drawer-1 (a yellow drawer that is closed), yellow drawer-2 (a yellow drawer that is open). yellow drawer-1 is inside yellow drawer-2. nothing is inside robot gripper."
putPearDrawer1,93,Put pear in drawer,yellow drawer (a yellow drawer that is closed). nothing is inside robot gripper.
putPearDrawer2,39,Open drawer,"drawer (closed), jell-o. nothing is inside robot gripper."
putPearDrawer2,103,Pick up pear,"pear-1, pear-2. pear-1 is inside pear-2. nothing is inside robot gripper."
putPearDrawer2,124,Put pear in drawer,drawer (closed). nothing is inside robot gripper.
putPearDrawer2,151,Close drawer,"carrots, drawer (open), jell-o. carrots is on top of drawer. nothing is inside robot gripper."
putPearDrawer3,44,Pick up pear,"pear-1, pear-2. pear-1 is inside pear-2. nothing is inside robot gripper."
putPearDrawer3,70,Open drawer,pear. nothing is inside robot gripper.
putPearDrawer3,93,Put pear in drawer,"drawer-1 (open), drawer-2 (closed). drawer-2 is inside drawer-1. drawer-1 is on the right of drawer-2. nothing is inside robot gripper."
putPearDrawer3,111,Close drawer,"drawer-1 (open), drawer-2 (closed). drawer-2 is inside drawer-1. drawer-1 is on the right of drawer-2. nothing is inside robot gripper."
sauteeCarrot1,62,Pick up knife,"stove burner-1, stove burner-2, saucepan. stove burner-1 is on top of stove burner-2. stove burner-1 is inside saucepan. saucepan is on top of stove burner-2. stove burner-2 is inside saucepan. nothing is inside robot gripper."
sauteeCarrot1,119,Slice carrot,"stove burner-1, stove burner-2, stove burner-3, saucepan. stove burner-1 is on top of stove burner-2. stove burner-3 is on top of stove burner-2. stove burner-1 is inside saucepan. saucepan is on top of stove burner-2. stove burner-2 is inside saucepan. stove burner-3 is inside saucepan. nothing is inside robot gripper."
sauteeCarrot1,162,Put knife on table,"stove burner, saucepan. saucepan is on top of stove burner. nothing is inside robot gripper."
sauteeCarrot1,223,Pick up carrot slice,"stove burner-1, stove burner-2. stove burner-2 is on top of stove burner-1. stove burner-1 is on top of stove burner-2. nothing is inside robot gripper."
sauteeCarrot1,275,Put carrot slice in saucepan,"stove burner, carrot (sliced), spoon, saucepan. carrot is on top of stove burner. spoon is on top of stove burner. spoon is inside carrot. carrot is inside spoon. saucepan is on top of stove burner. carrot is inside saucepan. spoon is inside saucepan. carrot is inside robot gripper. spoon is inside robot gripper."
sauteeCarrot1,315,Toggle on stove burner,"stove burner-1, stove burner-2, saucepan. saucepan is on the left of stove burner-1. stove burner-1 is inside saucepan. stove burner-2 is inside saucepan. nothing is inside robot gripper."
sauteeCarrot1,317,Toggle on stove burner,"stove burner, saucepan. nothing is inside robot gripper."
sauteeCarrot2,39,Pick up knife,"stove burner-1, stove burner-2. stove burner-1 is on top of stove burner-2. nothing is inside robot gripper."
sauteeCarrot2,137,Slice carrot,"stove burner-1, stove burner-2, saucepan. stove burner-1 is on top of stove burner-2. stove burner-1 is inside saucepan. saucepan is on top of stove burner-2. stove burner-2 is inside saucepan. nothing is inside robot gripper."
sauteeCarrot2,171,Put knife on table,"stove burner, saucepan. nothing is inside robot gripper."
sauteeCarrot2,219,Pick up carrot slice,"stove burner-1, stove burner-2. stove burner-2 is on top of stove burner-1. stove burner-1 is on top of stove burner-2. nothing is inside robot gripper."
sauteeCarrot2,262,Put carrot slice in saucepan,"carrot (sliced), stove burner, saucepan. carrot is on top of stove burner. carrot is inside saucepan. carrot is inside robot gripper."
sauteeCarrot2,299,Toggle on stove burner,"stove burner-1, carrot (sliced), stove burner-2, saucepan. stove burner-1 is on the right of carrot. stove burner-1 is on the right of stove burner-2. carrot is on top of stove burner-2. stove burner-1 is inside saucepan. carrot is inside saucepan. stove burner-2 is inside saucepan. nothing is inside robot gripper."
sauteeCarrot2,303,Toggle on stove burner,"carrot (sliced), stove burner, saucepan. carrot is on top of stove burner. carrot is inside saucepan. saucepan is on top of stove burner. nothing is inside robot gripper."
sauteeCarrot3,41,Pick up knife,"carrot (not sliced), stove burner, saucepan. carrot is on top of stove burner. saucepan is on top of stove burner. nothing is inside robot gripper."
sauteeCarrot3,55,Slice carrot,"stove burner-1, stove burner-2, stove burner-3, stove burner-4, table, saucepan. stove burner-1 is on the right of stove burner-2. stove burner-1 is on the right of stove burner-3. stove burner-3 is on top of stove burner-2. stove burner-1 is on the right of stove burner-4. stove burner-1 is on top of table. stove burner-2 is on top of table. stove burner-3 is on top of table. stove burner-4 is on top of table. saucepan is on the left of stove burner-1. stove burner-1 is inside saucepan. stove burner-2 is inside saucepan. stove burner-3 is inside saucepan. stove burner-4 is inside saucepan. saucepan is on top of table. nothing is inside robot gripper."
sauteeCarrot3,78,Slice carrot,"stove burner-1, stove burner-2, table, saucepan. stove burner-1 is on top of stove burner-2. stove burner-1 is on top of table. stove burner-2 is on top of table. stove burner-1 is inside saucepan. saucepan is on top of stove burner-2. stove burner-2 is inside saucepan. saucepan is on top of table. nothing is inside robot gripper."
